timestamp,open,high,low,close
1.48E+12,10.84200916,11.21563717,10.74428746,11.20271424
1.48E+12,11.14922901,11.2327773,10.77263898,11.12755994
1.48E+12,11.12071356,11.33493687,10.85034894,10.92821674
1.48E+12,10.9965736,11.14,10.63860574,10.9291037
1.48E+12,10.91007902,11.211,10.72321174,10.85628332
1.48E+12,10.83192609,10.90903234,10.20110967,10.72110074
1.48E+12,10.66924994,10.71563012,10.41929121,10.48759305
1.48E+12,10.4581365,10.60188061,10.18264871,10.28266728
1.48E+12,10.27609019,10.38968631,9.626431945,9.867379553
1.48E+12,9.868589817,10.46288243,9.778834349,10.11026754
1.48E+12,10.09732558,10.23397498,9.9,9.982842457
1.48E+12,9.97011031,10.3726,9.805705872,10.2471869
1.48E+12,10.2371577,10.43487132,9.82,10.07517418
1.48E+12,10.07381647,10.266,9.83,9.919407557
1.48E+12,9.94281149,10.0520929,9.392656535,9.476443525
1.48E+12,9.435343294,9.89848414,9.411537954,9.735137774
1.48E+12,9.701800064,9.835088905,9.48994328,9.590274462
1.48E+12,9.58,9.767336737,9.473292055,9.608311501
1.48E+12,9.62388859,10.26650908,9.536772765,9.878570474
1.48E+12,9.897228213,10.03490572,9.669078154,9.802503488
1.48E+12,9.842234934,9.941318028,8.512810194,9.199462695
1.48E+12,9.159898665,9.787260852,8.01,9.373378632
1.48E+12,9.357147112,9.57,9.20400784,9.320190107
1.48E+12,9.333939097,9.41,8.639265204,8.954247733
1.48E+12,8.923846873,9.089614786,8.592214671,8.723244532
1.48E+12,8.711647587,8.73612098,7.649902161,8.103388555
1.48E+12,8.128765645,8.88,8.077176783,8.55917661
1.48E+12,8.539919846,8.65424296,8.21146,8.411702601
1.48E+12,8.42033066,8.432676722,7.288897276,7.795546785
1.48E+12,7.784345516,8.682670573,7.34,7.860949093
1.48E+12,7.849277181,8.065725382,7.295874777,7.371586546
1.48E+12,7.408105401,7.666886462,6.537922719,6.766919989
1.48E+12,6.74547663,7.903662114,5.884665049,7.839478269
1.48E+12,7.831297745,8.61512756,7.283393649,8.346915634
1.48E+12,8.337317993,8.889111169,8.147332592,8.14811397
1.48E+12,8.165575883,8.683093155,7.990267736,8.430030134
1.48E+12,8.418431054,8.563193098,7.979203115,8.125608274
1.48E+12,8.101505428,8.325808484,8.049907727,8.202525114
1.48E+12,8.158540795,8.67,8.096142627,8.499343416
1.48E+12,8.513767366,8.71,8.243515295,8.360987113
1.48E+12,8.360099266,8.511091435,8.152109192,8.193688254
1.48E+12,8.183007514,8.32,7.643689828,7.820981648
1.48E+12,7.802240524,7.94997,7.73280277,7.829258347
1.48E+12,7.837935864,7.916201552,7.356991679,7.81265105
1.48E+12,7.821382907,7.97,7.549120072,7.873608062
1.48E+12,7.9039,7.947633404,7.524550033,7.589449508
1.48E+12,7.624431515,7.81,7.482399545,7.630859326
1.48E+12,7.668744546,7.96,7.585691805,7.853963595
1.48E+12,7.875899207,7.95,7.347032505,7.531867125
1.48E+12,7.53152118,7.683770967,7.052543545,7.10732904
1.48E+12,7.096374417,7.423495203,7.069810006,7.225400975
1.48E+12,7.225557332,7.340214084,7.110777221,7.155525287
1.48E+12,7.149748027,7.433888935,7.005527947,7.27315353
1.48E+12,7.284081589,7.404071276,7.036861252,7.134664619
1.48E+12,7.164748993,8.54,6.996882831,7.544375092
1.48E+12,7.549670474,8.561341601,7.505451637,8.276560626
1.48E+12,8.267345002,8.54,8.003510195,8.1611831
1.48E+12,8.141631043,8.29,7.94521491,8.09259381
1.48E+12,8.08714397,8.639084222,8.034940542,8.179041043
1.48E+12,8.2,8.55,7.993161379,8.36246579
1.48E+12,8.358883721,9.975523544,8.226048321,9.585341066
1.48E+12,9.609488923,11.15585944,9.387229756,11.0511151
1.48E+12,11.04829161,11.73341854,9.194465872,10.23772347
1.48E+12,10.21125666,10.46513142,9.498828045,10.1156162
1.48E+12,10.1131626,10.21,9.319969124,9.829124133
1.48E+12,9.851735798,10.57,9.71,10.35383952
1.48E+12,10.35049858,10.89,10.0333475,10.35013638
1.48E+12,10.30354633,10.75,10.24616044,10.51986742
1.48E+12,10.50668921,12.5,9.407092006,9.654837957
1.48E+12,9.658328575,10.17,9.109955149,9.719003712
1.48E+12,9.721456841,10.23,9.401338313,9.721302675
1.48E+12,9.70202413,10.22,9.488723066,9.750849385
1.48E+12,9.734380257,10.02,9.617836409,9.775559514
1.48E+12,9.782997019,10.17853474,9.37511621,9.59366909
1.48E+12,9.572710274,10.61750762,9.440208946,10.25440934
1.48E+12,10.26328947,10.49251424,9.82928152,10.22761333
1.48E+12,10.24732292,10.59861,9.935480208,10.41500571
1.48E+12,10.41752236,10.81306596,10.297,10.59610343
1.48E+12,10.60752759,11.05024306,10.47874013,10.94480392
1.49E+12,10.94014372,11.07,10.51146122,10.68386052
1.49E+12,10.70998261,10.92945865,10.589,10.75170297
1.49E+12,10.71401588,10.7774211,10.463,10.57060027
1.49E+12,10.56338805,10.71,10.351,10.50790391
1.49E+12,10.49382816,10.67,10.42832845,10.53959357
