MACD_12_26,MACDsignal_12_26,MACDdifference_12_26,Open,High,Low,Close
0.005111339618159738,0.00764272422456607,-0.0025313846064063316,0.3015,0.3235,0.2987,0.3096
0.005424988080742765,0.0071458225889431785,-0.0017208345082004133,0.3097,0.3316,0.3094,0.3266
0.0062771496632656465,0.0069557619163465026,-0.0006786122530808561,0.3269,0.3466,0.3211,0.3355
0.009009180402710093,0.007396750090171217,0.0016124303125388756,0.335,0.3748,0.3335,0.3638
0.011430214848072107,0.008250371367773426,0.003179843480298681,0.3638,0.3799,0.3345,0.3689
0.019550101253013763,0.010614283290672108,0.008935817962341655,0.3692,0.46,0.3675,0.4524
0.02354989352843795,0.013295751099350026,0.010254142429087922,0.4524,0.4713,0.411,0.4245
0.029790464261195138,0.016690240103045012,0.013100224158150126,0.4245,0.4861,0.403,0.4686
0.031874696816614756,0.01979709152018152,0.012077605296433237,0.4687,0.4875,0.3958,0.4366
0.0398240168596688,0.023875954857706876,0.015948062001961923,0.4361,0.544,0.4067,0.5233
0.05692087146352137,0.03058157636940212,0.026339295094119253,0.5233,0.6965,0.4959,0.6699
0.06724762171259901,0.038000317702238925,0.02924730401036009,0.6688,0.76,0.6191,0.6388
0.0742075098214432,0.045309168374996434,0.028898341446446763,0.638,0.7089,0.5854,0.6342
0.07841213553818605,0.05197897630358616,0.026433159234599886,0.6343,0.6649,0.615,0.6291
0.07754266097127555,0.057122072719791604,0.02042058825148394,0.6291,0.693,0.5812,0.5872
0.0735938473886451,0.060432058620036394,0.013161788768608712,0.5871,0.6071,0.51,0.5567
0.07277185152928906,0.06290937624325597,0.009862475286033082,0.5562,0.6257,0.5,0.5965
0.07363776238719816,0.06506155804240817,0.008576204344789992,0.5964,0.6666,0.592,0.6264
0.06609531253144202,0.06526881004480867,0.0008265024866333515,0.6261,0.6345,0.5219,0.5323
0.06188995563551447,0.06459172949870319,-0.0027017738631887195,0.5314,0.5862,0.511,0.5636
0.06178807424196686,0.0640301294133162,-0.002242055171349344,0.5643,0.6375,0.5439,0.6132
0.062269628271204636,0.06367759276566244,-0.0014079644944578057,0.6137,0.6645,0.5933,0.6293
0.05654747610740729,0.06225015576888191,-0.00570267966147462,0.629,0.6391,0.529,0.5609
0.050559998855728816,0.05991027053817806,-0.009350271682449243,0.5612,0.589,0.5293,0.55
0.043122263926650195,0.05655053973348689,-0.013428275806836698,0.5505,0.5579,0.49,0.5225
0.03768820690694663,0.05277615932994523,-0.015087952422998596,0.5226,0.5625,0.5122,0.5337
0.032977476363276415,0.048814815824780415,-0.015837339461504,0.5343,0.5483,0.5229,0.5334
0.027700713331979654,0.044590624497760446,-0.016889911165780792,0.5335,0.55,0.5067,0.5181
0.021984569373865948,0.04006823939468336,-0.018083670020817413,0.5182,0.5268,0.5014,0.5021
0.018419843032449035,0.03573766069622963,-0.017317817663780592,0.5015,0.5536,0.489,0.5168
0.011217689514416596,0.030832851508656257,-0.019615161994239662,0.5164,0.5271,0.4186,0.4638
-0.0036848421182718027,0.02392839502358508,-0.027613237141856883,0.4638,0.4716,0.33,0.3486
-0.013303162753776243,0.016481291556239515,-0.029784454310015758,0.3484,0.3877,0.3311,0.374
-0.023265306860238755,0.008531295562080387,-0.031796602422319145,0.3738,0.3998,0.316,0.3415
-0.028089858286995006,0.001206566297023035,-0.02929642458401804,0.3419,0.3874,0.3189,0.3757
-0.03182711369609337,-0.005400529426107627,-0.02642658426998574,0.3756,0.3846,0.3293,0.3722
-0.03623488893272225,-0.011567669944284653,-0.0246672189884376,0.3728,0.3766,0.3367,0.349
-0.03418957869024214,-0.016092209350664344,-0.018097369339577795,0.3489,0.435,0.3376,0.413
-0.0321894041418086,-0.01931173805625485,-0.012877666085553748,0.4129,0.45,0.4012,0.4131
-0.030422312185257427,-0.02153390243797703,-0.008888409747280397,0.4128,0.4151,0.39,0.411
-0.028850074029364126,-0.022997162861692746,-0.005852911167671379,0.4112,0.4181,0.3973,0.409
-0.02980288681918175,-0.024358327080375452,-0.005444559738806299,0.409,0.4159,0.3554,0.3774
-0.029851572253194514,-0.025456988659436897,-0.0043945835937576165,0.3774,0.39,0.3651,0.3819
-0.03177746829021366,-0.026721096132436884,-0.005056372157776778,0.3817,0.3884,0.3512,0.3539
-0.03245447006786828,-0.027867779298919787,-0.004586690768948493,0.3539,0.3628,0.3366,0.3598
-0.03287757914910294,-0.02886974512645521,-0.004007834022647733,0.3599,0.376,0.3458,0.3565
-0.03439472838999741,-0.029974746947041955,-0.0044199814429554535,0.3566,0.3632,0.3281,0.3369
-0.03476128716027549,-0.030932058571416676,-0.003829228588858813,0.3366,0.3461,0.3248,0.3423
-0.03584678414710857,-0.0319150066286713,-0.00393177751843727,0.3424,0.3589,0.3115,0.3273
-0.03947451044772177,-0.033426911012773154,-0.006047599434948613,0.3274,0.3305,0.2742,0.2873
-0.04036122384390933,-0.034813776235706355,-0.005547447608202978,0.288,0.3136,0.2748,0.3062
-0.043559419142968625,-0.03656290749769466,-0.006996511645273963,0.3063,0.31,0.263,0.269
-0.04356878791624952,-0.037964085299244624,-0.005604702617004895,0.2693,0.3026,0.2633,0.2941
-0.04122297037439504,-0.03861586295353636,-0.0026071074208586786,0.2941,0.3278,0.288,0.3174
-0.038285716986600105,-0.03854983370834007,0.00026411672173996814,0.3175,0.3419,0.3135,0.3253
-0.03589875713465618,-0.03801961806078154,0.002120860926125359,0.3249,0.3277,0.3029,0.3209
-0.033133324960753996,-0.037042358950027644,0.003909033989273648,0.3205,0.3502,0.3189,0.327
