MACD_12_26,MACDsignal_12_26,MACDdifference_12_26,Open,High,Low,Close
-0.02648313179648254,-0.02705083382401365,0.0005677020275311091,0.3005,0.3038,0.2899,0.2909
-0.02526210057715733,-0.026650053740895355,0.001387953163738024,0.2909,0.3036,0.2879,0.3029
-0.022429390890915835,-0.025726596825917557,0.003297205935001723,0.3034,0.3411,0.2898,0.324
-0.02060470980114304,-0.02462663029664385,0.004021920495500809,0.324,0.33,0.31,0.3154
-0.019099316378284548,-0.02345685863582641,0.004357542257541862,0.3148,0.3184,0.3093,0.3133
-0.0170166700417691,-0.022109566376823497,0.005092896335054397,0.3134,0.3499,0.3134,0.3223
-0.014266901318723213,-0.02048383295559364,0.006216931636870426,0.3221,0.3579,0.3218,0.3344
-0.011920071207021932,-0.01872147462898551,0.00680140342196358,0.3347,0.3427,0.327,0.3348
-0.011283619689708091,-0.017199634855956367,0.005916015166248276,0.3346,0.3402,0.3098,0.3174
-0.009769591045516113,-0.015686365455842458,0.0059167744103263455,0.3174,0.3395,0.2894,0.3289
-0.009925014577322422,-0.014517246500322673,0.004592231923000251,0.3288,0.3324,0.3083,0.3101
-0.01061471935442887,-0.01372763749916728,0.0031129181447384097,0.31,0.3111,0.2997,0.3013
-0.010303595482676398,-0.01303645405380683,0.0027328585711304323,0.301,0.3288,0.3002,0.3107
-0.01123332189184062,-0.012673146887688176,0.0014398249958475565,0.3107,0.3208,0.2911,0.2941
-0.011061405984125694,-0.012348884600278527,0.0012874786161528335,0.294,0.3045,0.287,0.304
-0.011034477023135258,-0.012084755771722744,0.0010502787485874854,0.3041,0.305,0.2929,0.301
-0.009534466965814448,-0.011572763759406317,0.0020382967935918695,0.301,0.3193,0.301,0.3183
-0.009041562063511865,-0.011064988764472601,0.0020234267009607357,0.3184,0.3206,0.3,0.3082
-0.00746998877296251,-0.010344246117379845,0.002874257344417335,0.3081,0.338,0.3024,0.322
-0.005729659469199233,-0.009419540146265271,0.003689880677066038,0.322,0.3331,0.3114,0.3274
-0.005110709724110096,-0.008556438476690811,0.003445728752580715,0.3274,0.3395,0.3114,0.3171
-0.004331418090580241,-0.007710387038518089,0.0033789689479378476,0.317,0.3358,0.3166,0.3201
-0.0032933891781652957,-0.006826111722592061,0.0035327225444267652,0.3201,0.3286,0.316,0.3249
-0.0029078733104839216,-0.006041842678217407,0.0031339693677334855,0.3249,0.3255,0.3074,0.319
-0.0026673853759161537,-0.005366523183175539,0.002699137807259385,0.3187,0.3187,0.314,0.3178
-0.0028039671047678794,-0.004853751961595281,0.0020497848568274014,0.3174,0.3191,0.3116,0.3133
-0.0023019678840320856,-0.004343188036749591,0.002041220152717505,0.3133,0.3305,0.3092,0.3206
-0.002768297774170536,-0.004028107734829914,0.0012598099606593782,0.3205,0.3207,0.3072,0.3094
-0.0028408513183534323,-0.003790594789648662,0.0009497434712952297,0.3094,0.3191,0.3074,0.3127
-0.002675219036654297,-0.0035674732985290928,0.0008922542618747956,0.3128,0.3179,0.3104,0.3151
-0.0024198617456205884,-0.0033379128456748094,0.000918051100054221,0.315,0.33,0.3112,0.3163
-0.0025489403944864986,-0.003180097378163389,0.0006311569836768903,0.3163,0.3212,0.3097,0.3118
-0.0029144371742926833,-0.003126959686820691,0.0002125225125280076,0.3115,0.3131,0.3059,0.3081
-0.003437305084076192,-0.003189034046974341,-0.0002482710371018511,0.3076,0.3206,0.2997,0.3047
-0.003387033386127225,-0.0032286366100156955,-0.00015839677611152953,0.3044,0.3205,0.3036,0.31
-0.003396368391999971,-0.0032621847929493655,-0.00013418359905060552,0.31,0.321,0.304,0.3089
-0.003952754076283649,-0.003400304665585141,-0.0005524494106985078,0.3089,0.3122,0.2999,0.3015
-0.004129034672455345,-0.0035460557456430866,-0.0005829789268122585,0.3014,0.31,0.2996,0.3042
-0.004299538679952586,-0.003696756533429823,-0.0006027821465227627,0.3037,0.3105,0.3027,0.3032
-0.004614652537371977,-0.003880339828262535,-0.0007343127091094422,0.3031,0.3043,0.298,0.3003
-0.0058983740236902005,-0.004283953868063157,-0.0016144201556270435,0.3005,0.3025,0.2848,0.2866
-0.006518685460046525,-0.004730906565581893,-0.001787778894464632,0.2865,0.2913,0.2733,0.2906
-0.007407698430183907,-0.005266271051284112,-0.002141427378899795,0.2907,0.2913,0.2786,0.2846
-0.007200128999636013,-0.0056530461739074615,-0.0015470828257285515,0.2849,0.295,0.2806,0.2949
-0.0060481117073793444,-0.005732059857994981,-0.00031605184938436354,0.2953,0.308,0.294,0.3063
-0.00627860864326224,-0.005841370254077724,-0.00043723838918451573,0.3063,0.3133,0.2899,0.2912
-0.005400392386779973,-0.005753174268142725,0.0003527818813627518,0.2912,0.3081,0.291,0.3036
-0.0051126213596903725,-0.005625063207131869,0.000512441847441497,0.3035,0.3062,0.2962,0.2978
-0.0039688008978421285,-0.0052938097537808745,0.001325008855938746,0.2976,0.3114,0.2935,0.3086
-0.0021035136262514964,-0.004655749000423031,0.002552235374171535,0.3088,0.336,0.3085,0.3202
-0.0008491610257911342,-0.0038944299470990845,0.0030452689213079503,0.3207,0.3275,0.3079,0.3173
0.0003025861520002948,-0.0030550254408955456,0.0033576115928958404,0.3172,0.3285,0.3145,0.3193
8.606470343897055e-05,-0.0024268066418346363,0.002512871345273607,0.3193,0.3203,0.3033,0.3053
0.00011464812293859872,-0.001918515190349184,0.002033163313287783,0.3053,0.3124,0.2944,0.3078
0.0005102655462146943,-0.001432758661893515,0.0019430242081082093,0.3077,0.3182,0.2923,0.3125
0.0007984635926634454,-0.0009865139308697654,0.0017849775235332108,0.313,0.3293,0.3088,0.3123
