MACD_12_26,MACDsignal_12_26,MACDdifference_12_26,Open,High,Low,Close
486.22818720288706,417.09256112888266,69.13562607400439,11071.36,11473.0,10936.0,11219.81
478.28421639120097,430.80304407835513,47.48117231284584,11219.68,11414.98,11000.0,11191.97
508.1445659996407,447.7249271502202,60.419638849420494,11191.99,11780.93,11093.0,11744.91
526.9863833160998,464.74696383752894,62.23941947857088,11744.91,11900.0,11562.5,11762.46
522.9141665751649,477.05716484230686,45.857001732858066,11762.47,11909.94,11322.0,11594.23
526.44741868036,487.3896427960737,39.057775884286286,11594.36,11808.27,11512.0,11761.41
517.0792559367092,493.5441063602499,23.535149576459276,11761.02,11797.11,11521.97,11681.68
520.002870940798,498.9891228657674,21.01374807503055,11681.69,12067.35,11450.0,11892.92
477.83135633758684,494.6600883694079,-16.828732031821062,11892.9,11935.0,11125.0,11392.08
452.6146978246634,486.09674681309076,-33.48204898842738,11392.09,11617.52,11150.0,11564.33
444.3518003734207,477.625676536546,-33.273876163125294,11564.34,11792.96,11270.36,11780.0
431.28615355324837,468.2496739902578,-36.963520437009436,11779.77,11850.0,11634.03,11760.54
423.24909138031035,459.1657732724017,-35.91668189209133,11760.55,11980.0,11680.0,11852.4
416.67042945922367,450.6035262781667,-33.933096818943056,11852.4,11931.72,11686.0,11911.0
435.59763527639006,447.5845270518638,-11.986891775473737,11910.99,12468.0,11769.78,12281.13
419.1993403364904,441.88055345505643,-22.681213118566006,12281.15,12387.77,11817.93,11945.01
386.6735926019901,430.7972898985712,-44.1236972965811,11945.1,12020.08,11561.0,11754.59
364.5281648591754,417.50328622998956,-52.97512137081418,11754.38,11888.0,11668.0,11853.55
317.7496177054345,397.5041976960837,-79.75457999064918,11853.54,11878.0,11485.81,11531.34
287.81322691002424,375.52348666030434,-87.7102597502801,11531.23,11686.0,11376.81,11662.96
259.9106689510136,352.3650872310722,-92.45441828005863,11663.51,11718.07,11514.13,11648.13
242.96104261704022,330.45715760500383,-87.49611498796361,11648.12,11824.9,11585.09,11748.2
193.05297553052333,302.9490785080934,-109.89610297757008,11748.19,11767.85,11117.64,11318.42
163.03017634129174,274.943109460062,-111.91293311877024,11318.42,11539.32,11244.0,11461.43
127.30839322577776,245.39743942002497,-118.0890461942472,11461.42,11592.2,11125.0,11330.38
113.39439777221924,218.9834376003594,-105.58903982814016,11330.38,11542.65,11276.89,11526.91
96.37343281295762,194.4514853007807,-98.07805248782307,11526.9,11580.02,11417.04,11465.84
101.34316241692613,175.82377568662784,-74.4806132697017,11465.84,11719.0,11458.0,11711.16
99.20077139566274,160.49519530144585,-61.294423905783106,11711.17,11800.77,11570.0,11649.51
117.96696836899719,151.9877829945483,-34.02081462555111,11649.51,12050.85,11515.0,11921.97
89.05687860051512,139.3995105302194,-50.34263192970428,11921.97,11954.57,11160.1,11388.54
-33.51655136561203,104.81170064253156,-138.32825200814358,11388.54,11462.6,9960.8,10140.85
-104.93842906965438,62.85721333376802,-167.7956424034224,10138.29,10627.05,9875.5,10446.25
-181.87638504808092,13.906329376734295,-195.78271442481523,10446.25,10565.68,9825.0,10166.69
-232.97202929031118,-35.472702919472006,-197.49932637083919,10166.69,10347.14,9994.86,10256.2
-261.0352844782519,-80.5876755239738,-180.4476089542781,10255.89,10410.75,9875.0,10373.44
-299.6473657273491,-124.40152192680668,-175.24584380054242,10373.45,10438.0,9850.0,10126.65
-319.1265979878026,-163.34789422201362,-155.77870376578898,10126.66,10343.0,9981.01,10219.2
-321.39588164198904,-194.95837287754634,-126.4375087644427,10219.29,10483.35,10070.83,10336.87
-315.45286854601,-219.05780944663346,-96.39505909937654,10336.86,10397.6,10200.0,10387.89
-302.98304322448166,-235.84315566278636,-67.1398875616953,10387.89,10477.97,10269.25,10440.92
-298.3568221804999,-248.34606741384852,-50.01075476665136,10440.67,10580.11,10200.0,10332.83
-264.36534550151373,-251.54995961336357,-12.81538588815016,10332.84,10750.0,10212.34,10671.77
-225.68594587092957,-246.3771096140721,20.69116374314254,10671.77,10930.04,10606.48,10785.31
-179.38297297721692,-232.9781843739452,53.595211396728274,10785.23,11093.0,10661.22,10954.01
-142.1778074879785,-214.81800283221165,72.64019534423315,10954.01,11045.46,10745.83,10939.99
-111.93390176566209,-194.24108638467106,82.30718461900898,10940.0,11038.03,10812.84,10933.39
-75.23730302160584,-170.44024066252203,95.20293764091619,10933.4,11179.79,10887.37,11080.65
-58.40086321176386,-148.03229810191718,89.63143489015332,11080.64,11080.64,10723.0,10920.28
-84.61191863169552,-135.34819183547236,50.73627320377685,10920.28,10988.86,10296.35,10417.22
-95.2301790980564,-127.32457391779083,32.09439481973443,10417.22,10572.71,10353.0,10529.61
-125.41923365379989,-126.94350528100665,1.5242716272067582,10529.61,10537.15,10136.82,10241.46
-108.2146304200196,-123.19772571649686,14.98309529647726,10241.46,10795.24,10190.93,10736.32
-97.45813341963913,-118.04980220805663,20.591668788417508,10736.33,10760.53,10556.24,10686.67
-84.57868392558521,-111.35557329901786,26.776889373432653,10686.57,10820.94,10644.68,10728.6
-69.8860537056571,-103.06166417417457,33.17561046851746,10728.59,10799.0,10594.82,10774.25
-63.80524155913736,-95.21037570850021,31.40513414936285,10774.26,10950.0,10626.0,10696.12
-46.80772347738457,-85.52984137327236,38.72211789588779,10696.11,10867.54,10635.87,10840.48
-38.04988153081467,-76.0338463528857,37.98396482207103,10840.58,10849.34,10665.13,10776.59
-43.30654330132347,-69.48838405966887,26.181840758345402,10776.59,10920.0,10437.0,10619.13
