Open,High,Low,Close
0.008333,0.09471,0.008333,0.0679
0.0679,0.0798,0.06562,0.071009
0.071005,0.072847,0.06345,0.065997
0.065817,0.070869,0.057824,0.058779
0.058779,0.062,0.053003,0.061417
0.061413,0.061499,0.055,0.056
0.056,0.0604,0.051,0.052181
0.052323,0.0556,0.050935,0.051624
0.051598,0.052765,0.049,0.051101
0.051413,0.0535,0.048724,0.048942
0.048943,0.053,0.048,0.051878
0.051846,0.0645,0.05032,0.063986
0.063987,0.070027,0.058233,0.063035
0.062994,0.0662,0.05805,0.063996
0.063419,0.063419,0.059476,0.060852
0.060853,0.065199,0.0592,0.060686
0.060394,0.060799,0.055555,0.056822
0.056999,0.058925,0.056,0.056726
0.05678,0.0577,0.052345,0.05314
0.053162,0.05835,0.053,0.056265
0.056142,0.056651,0.053472,0.053812
0.053813,0.05745,0.0533,0.056999
0.057,0.061052,0.056292,0.057522
0.057642,0.057855,0.053222,0.053228
0.053387,0.054704,0.050205,0.052201
0.052354,0.053427,0.051101,0.05265
0.052918,0.053491,0.0513,0.051631
0.05141,0.0538,0.05,0.050031
0.050233,0.05173,0.048,0.05173
0.05173,0.0571,0.051556,0.053315
0.053314,0.057,0.052022,0.05252
0.052504,0.057,0.0513,0.052093
0.052089,0.053399,0.0507,0.051942
0.052519,0.054375,0.050844,0.051679
0.051375,0.053186,0.05076,0.051809
0.051811,0.056238,0.0515,0.056
0.055997,0.057332,0.05362,0.054663
0.054702,0.054907,0.052,0.052934
0.053031,0.054374,0.052,0.053483
0.05387,0.05387,0.0508,0.0517
0.051718,0.052327,0.0508,0.051051
0.051063,0.0536,0.05,0.050002
0.050195,0.0525,0.0485,0.0506
0.050598,0.0506,0.048,0.048753
0.048753,0.051099,0.044005,0.04425
0.044231,0.044788,0.040202,0.044131
0.044131,0.0449,0.042673,0.044518
0.044568,0.045799,0.0432,0.045051
0.04505,0.0491,0.044405,0.045328
0.04532,0.0468,0.043242,0.0461
0.046099,0.0461,0.0446,0.045973
0.045973,0.048323,0.044101,0.04518
0.0453,0.047012,0.0453,0.046099
0.046099,0.047011,0.044145,0.044389
0.0443,0.0458,0.043627,0.044495
0.044492,0.044548,0.041793,0.0434
0.043436,0.044081,0.042368,0.043611
0.043652,0.045304,0.042063,0.045186
0.045185,0.049897,0.04483,0.048321
0.048318,0.0522,0.048221,0.049298
0.049298,0.051783,0.048156,0.0501
0.050099,0.0526,0.049139,0.051812
0.051812,0.053749,0.05061,0.050735
0.051232,0.05675,0.050509,0.055399
0.055148,0.055693,0.049991,0.050295
0.050016,0.051902,0.04865,0.051373
0.0511,0.0511,0.046865,0.047923
0.047888,0.0485,0.045,0.047845
0.047882,0.048791,0.047142,0.048002
0.04805,0.052055,0.047011,0.050617
0.050617,0.051122,0.046896,0.048539
0.048539,0.053873,0.048383,0.053753
0.0537,0.057506,0.050186,0.057302
0.0574,0.058689,0.055749,0.056185
0.056185,0.058571,0.055714,0.058571
0.058509,0.0619,0.054183,0.056621
0.056699,0.05844,0.054841,0.058161
0.058161,0.073775,0.057887,0.064769
0.06477,0.075526,0.064769,0.069627
0.06939,0.070499,0.063231,0.065999
0.065998,0.075,0.065482,0.073953
0.074221,0.078462,0.068501,0.077877
0.077797,0.0825,0.073989,0.0755
0.075299,0.07617,0.069817,0.070792
0.07058,0.079487,0.07031,0.079188
0.079387,0.079387,0.072041,0.072575
0.072521,0.073004,0.069177,0.069976
0.069828,0.0745,0.0695,0.071401
0.071443,0.074051,0.06699,0.068
0.067998,0.0699,0.065112,0.06633
0.06633,0.069487,0.066,0.067399
0.067221,0.068329,0.065854,0.067233
0.067707,0.072767,0.06725,0.072767
0.072765,0.0738,0.06729,0.067546
0.067285,0.068065,0.064736,0.065494
0.0655,0.069309,0.0646,0.068896
0.068896,0.069,0.064995,0.0661
0.0661,0.068491,0.066,0.06849
0.06849,0.068515,0.06592,0.066653
0.0669,0.072079,0.0669,0.067759
0.067739,0.07751,0.067238,0.075847
0.075986,0.075986,0.071101,0.071557
0.07168,0.078467,0.071,0.071935
0.071935,0.072795,0.0692,0.070653
0.070655,0.071196,0.068,0.070005
0.070005,0.0703,0.066734,0.06717
0.067201,0.070898,0.0665,0.067107
0.067107,0.069,0.0593,0.06
0.060198,0.064301,0.06,0.061048
0.061243,0.063994,0.060284,0.0612
0.061494,0.0639,0.0594,0.059799
0.059794,0.0608,0.05491,0.057092
0.057114,0.060259,0.056,0.058501
0.0584,0.058699,0.050843,0.052989
0.05295,0.056983,0.052597,0.054387
0.054525,0.054766,0.051649,0.054497
0.054494,0.0596,0.053347,0.0583
0.058302,0.0595,0.053522,0.053816
0.053995,0.054497,0.0521,0.054497
0.054371,0.054497,0.05,0.050023
0.050025,0.054,0.048134,0.05058
0.05058,0.0517,0.048207,0.049477
0.049475,0.052,0.043419,0.043681
0.043887,0.047495,0.043199,0.045184
0.045225,0.0468,0.040868,0.042334
0.042334,0.046395,0.042334,0.044333
0.044333,0.045524,0.037401,0.040415
0.040614,0.042318,0.0405,0.04202
0.042293,0.045565,0.04205,0.044869
0.044907,0.046799,0.043841,0.044078
0.04393,0.047,0.043526,0.044397
0.044193,0.044394,0.038,0.0392
0.039075,0.043582,0.038,0.041973
0.0419,0.043578,0.035004,0.036515
0.036515,0.039102,0.036018,0.037527
0.037527,0.038853,0.035312,0.035574
0.03562,0.038638,0.033259,0.037895
0.037648,0.039588,0.036895,0.0395
0.039367,0.042656,0.037147,0.038289
0.038475,0.040488,0.037896,0.040029
0.040115,0.041387,0.039223,0.040949
0.04089,0.041188,0.038273,0.039102
0.039079,0.03908,0.035,0.037022
0.03691,0.038,0.035001,0.035146
0.035112,0.037415,0.033514,0.037262
0.037232,0.037499,0.034956,0.035462
0.035444,0.038986,0.035022,0.038956
0.038819,0.039547,0.037022,0.037375
0.037375,0.044,0.0369,0.041999
