BB_UPPER,BB_SMA,BB_LOWER,Open,High,Low,Close
5.501243501806316,4.40513,3.3090164981936834,4.5726,4.6697,4.2001,4.3781
5.474350926931088,4.394655,3.314959073068913,4.3809,4.7101,4.325,4.7001
5.22400147423203,4.341855000000001,3.4597085257679714,4.7101,4.8349,4.6148,4.7119
5.229789140600816,4.34403,3.4582708593991844,4.7167,5.0234,4.585,4.7134
5.234750314347846,4.34683,3.458909685652153,4.7164,4.7281,4.5003,4.536
5.094848930401269,4.314865,3.5348810695987316,4.5435,4.82,4.528,4.68
5.035511147131359,4.297420000000001,3.5593288528686418,4.68,4.6882,4.5107,4.5646
5.0518934756566045,4.314935,3.577976524343396,4.5774,4.5774,4.3294,4.47
5.082944396466564,4.33544,3.587935603533436,4.4746,4.7499,4.3988,4.6209
5.099838102847872,4.356075,3.6123118971521273,4.6195,4.67,4.4666,4.52
5.08489916858616,4.3984499999999995,3.712000831413839,4.5214,4.7134,4.5106,4.5713
4.994562636589365,4.44062,3.8866773634106346,4.5713,4.59,4.3103,4.3784
4.920849411250914,4.46828,4.015710588749086,4.388,4.3956,4.25,4.293
4.839027693507327,4.497815,4.156602306492673,4.293,4.4232,4.1068,4.423
4.836005407345126,4.501645,4.167284592654874,4.417,4.5,4.3566,4.3945
4.821933454389047,4.5267349999999995,4.231536545610952,4.3944,4.7,4.3556,4.6484
4.7903139296720685,4.54064,4.290966070327931,4.6485,4.705,4.4062,4.4609
4.78103913587307,4.52864,4.2762408641269305,4.4609,4.5743,4.3151,4.4011
4.784931695104535,4.519235,4.253538304895465,4.4011,4.4572,4.1866,4.3429
4.779199348136162,4.511535,4.243870651863839,4.3429,4.4489,4.2845,4.4222
4.781797418290554,4.50963,4.237462581709445,4.4249,4.4332,4.281,4.34
4.7741040693289545,4.48473,4.195355930671045,4.34,4.4114,4.1667,4.2021
4.748921507704947,4.461385,4.173848492295053,4.1999,4.2899,4.1657,4.245
4.716024605036081,4.437545,4.159065394963919,4.245,4.2696,4.1001,4.2366
4.709489317348602,4.42338,4.137270682651398,4.2343,4.2825,4.2048,4.2527
4.693298809404527,4.392935,4.092571190595472,4.251,4.251,4.06,4.0711
4.693841418432301,4.36686,4.039878581567699,4.0648,4.0782,3.9607,4.0431
4.688588823979508,4.35033,4.012071176020491,4.0541,4.1987,3.9851,4.1394
4.654680008090086,4.324434999999999,3.9941899919099124,4.1429,4.2,4.0878,4.103
4.641251304716168,4.300085,3.958918695283832,4.1023,4.1532,4.015,4.033
4.606725489282926,4.2744599999999995,3.9421945107170733,4.0316,4.1454,3.9958,4.0588
4.598102160225246,4.269435,3.940767839774753,4.0595,4.32,4.0286,4.2779
4.600319701050133,4.27093,3.9415402989498665,4.2775,4.3992,4.25,4.3229
4.589128804910816,4.266245,3.943361195089184,4.3396,4.411,4.25,4.3293
4.574733659962205,4.256065,3.937396340037796,4.3293,4.3433,4.05,4.1909
4.50246832184019,4.239815,3.97716167815981,4.1943,4.3234,4.179,4.3234
4.487852042499504,4.236215,3.9845779575004956,4.3225,4.53,4.28,4.3889
4.466099541890367,4.22658,3.9870604581096334,4.3958,4.4144,4.182,4.2084
4.4522678609803465,4.2167699999999995,3.9812721390196524,4.2071,4.2231,4.014,4.1467
4.4193390232776215,4.20316,3.9869809767223776,4.1525,4.1674,4.0921,4.15
4.401115318313994,4.19406,3.987004681686007,4.1422,4.1642,4.1086,4.158
4.417212462436943,4.1808950000000005,3.944577537563058,4.1557,4.2198,3.8179,3.9388
4.457114319315778,4.1564700000000006,3.855825680684223,3.9364,3.9436,3.6332,3.7565
4.461149467128383,4.138495000000001,3.815840532871618,3.7561,4.0,3.7164,3.8771
4.4612851634892765,4.118095,3.774904836510724,3.8767,3.998,3.8346,3.8447
4.465124836928212,4.1101149999999995,3.7551051630717867,3.8438,4.0,3.7175,3.9115
4.46542019051487,4.107315,3.74920980948513,3.9156,3.9999,3.8696,3.9871
4.463396704313071,4.096585,3.729773295686929,3.986,3.9914,3.892,3.9248
4.461043589606952,4.0932949999999995,3.7255464103930476,3.9248,4.0976,3.885,4.0372
4.460942662917734,4.09292,3.724897337082266,4.0366,4.0464,3.977,4.0255
4.463532212364643,4.095745,3.727957787635357,4.0334,4.19,4.03,4.1153
4.441683774465897,4.08269,3.7236962255341037,4.1103,4.1246,3.975,4.0168
4.409257245566554,4.06342,3.717582754433445,4.0202,4.0798,3.8834,3.9375
4.369810886480092,4.04569,3.7215691135199074,3.9401,3.9937,3.9001,3.9747
4.354651781968377,4.030265,3.7058782180316228,3.9806,3.9872,3.8334,3.8824
4.306967707096696,4.009410000000001,3.711852292903306,3.8825,3.9525,3.843,3.9063
4.227969078995366,3.98996,3.7519509210046342,3.9059,4.0642,3.8631,3.9999
4.192486287511594,3.97774,3.7629937124884054,4.004,4.0266,3.9315,3.964
4.169681536671785,3.9699600000000004,3.7702384633282158,3.9582,4.0389,3.9561,3.9911
4.1402933287322785,3.958875,3.7774566712677213,3.9914,4.0152,3.8765,3.9283
4.102761861177856,3.9466949999999996,3.7906281388221434,3.9283,3.9571,3.8819,3.9144
4.1047905366822475,3.948365,3.791939463317752,3.9112,4.0379,3.87,3.9722
4.0889716692677425,3.960255,3.8315383307322577,3.9898,4.0456,3.936,3.9943
4.088311215801932,3.9654649999999996,3.8426187841980677,3.995,4.01,3.95,3.9813
4.086077011818137,3.966225,3.846372988181863,3.9949,4.0,3.85,3.8599
4.117725257987754,3.9567500000000004,3.7957747420122474,3.8604,3.867,3.6913,3.722
4.159940156573262,3.937995,3.7160498434267377,3.7184,3.729,3.5022,3.612
4.1662956607654875,3.929405,3.692514339234513,3.609,3.7684,3.56,3.753
4.186566653566064,3.90599,3.6254133464339358,3.7515,3.752,3.5256,3.5689
4.199782776413568,3.8818349999999997,3.563887223586432,3.5689,3.6059,3.5,3.5424
4.2171173218637765,3.8446100000000003,3.4721026781362236,3.5401,3.5462,3.3025,3.3708
4.225438775509972,3.81402,3.402601224490028,3.3712,3.5248,3.3302,3.405
4.255229508828848,3.7801850000000004,3.305140491171152,3.405,3.4262,3.207,3.2608
4.2574941249145475,3.746555,3.2356158750854527,3.2554,3.3928,3.2551,3.3021
4.254697672912501,3.7205999999999997,3.186502327087498,3.3003,3.41,3.2345,3.3633
4.23782172116074,3.6973849999999997,3.1569482788392595,3.3564,3.45,3.335,3.442
