BB_UPPER,BB_SMA,BB_LOWER,Open,High,Low,Close
231.28161117734746,227.31350000000003,223.3453888226526,226.09,226.66,225.84,226.09
231.27309446922345,227.323,223.37290553077656,226.09,226.46,225.4,225.63
231.26299487894136,227.337,223.41100512105862,225.63,226.55,225.11,225.86
231.39567276263327,227.40299999999996,223.41032723736666,225.85,230.71,225.42,228.98
231.35807104536264,227.39049999999997,223.4229289546373,228.99,229.5,228.35,229.17
230.84062135233862,227.2475,223.6543786476614,229.24,229.85,227.39,228.24
230.16767450508036,227.0315,223.89532549491963,228.23,228.37,226.33,226.67
229.34381443858416,226.7355,224.12718556141584,226.67,227.11,223.05,225.14
229.11852843075187,226.5555,223.99247156924812,225.14,226.26,224.25,225.0
228.91689590800098,226.40500000000003,223.89310409199908,224.96,225.84,224.75,225.18
229.0094191412965,226.5295,224.04958085870354,225.18,228.24,223.22,227.56
229.15374389801735,226.6365,224.11925610198267,227.54,228.8,226.93,227.86
230.68237043712196,226.9535,223.22462956287802,227.88,234.15,227.67,232.8
232.80411308822644,227.42400000000004,222.04388691177363,232.82,235.93,232.45,235.69
235.4003966971318,228.00300000000001,220.60560330286822,235.69,238.86,234.59,238.79
237.2888324969735,228.567,219.84516750302652,238.78,240.77,237.87,238.42
239.74085863989794,229.301,218.86114136010204,238.39,242.0,237.29,241.6
241.18251722753868,229.94400000000002,218.70548277246135,241.6,243.77,237.86,239.25
241.95100013217333,230.55249999999995,219.15399986782657,239.25,239.57,235.93,237.04
242.72936865787364,231.12599999999998,219.52263134212632,237.03,237.99,234.4,237.55
243.5970166445666,231.7625,219.92798335543338,237.58,239.61,236.45,238.82
244.15587721617902,232.38000000000002,220.60412278382103,238.81,240.24,237.66,237.98
244.80979969345663,233.0565,221.30320030654337,237.98,239.86,236.58,239.39
245.92334995751963,233.70250000000001,221.4816500424804,239.39,242.28,237.78,241.9
246.69554879493398,234.282,221.86845120506604,241.91,242.66,238.23,240.76
247.8775014715794,235.07350000000002,222.26949852842066,240.76,244.6,240.11,244.07
249.0326091313597,236.02650000000003,223.02039086864036,244.07,247.63,241.28,245.73
250.29352249781024,237.1975,224.10147750218974,245.73,248.8,245.0,248.56
250.75034930524964,238.295,225.83965069475033,248.6,248.88,245.69,246.95
250.38326566245058,239.26999999999998,228.15673433754938,246.94,247.03,243.0,244.68
250.34825070026108,240.22750000000002,230.10674929973896,244.65,247.9,244.37,246.71
249.81673834607892,241.16099999999997,232.50526165392102,246.7,246.79,244.39,246.53
249.26236483320898,241.5145,233.76663516679102,246.54,247.6,237.88,239.87
249.0221024370899,241.72899999999998,234.43589756291007,239.86,240.94,238.28,239.98
249.0492975886248,241.88849999999996,234.72770241137513,239.98,242.2,239.43,241.98
249.0000781872986,241.99349999999998,234.98692181270135,241.97,242.16,239.9,240.52
249.0428170495222,241.8145,234.58618295047782,240.53,240.59,235.72,238.02
249.09382319924558,241.7525,234.41117680075442,238.04,240.35,237.89,238.01
248.9567994691736,241.9315,234.9062005308264,237.97,240.79,237.97,240.62
248.848573427527,242.0305,235.212426572473,240.61,240.79,238.44,239.53
248.81421741725512,242.1525,235.49078258274488,239.51,241.6,238.59,241.26
248.6985747236135,242.2805,235.8624252763865,241.27,241.67,240.21,240.54
248.66791007530867,242.33399999999997,236.00008992469128,240.52,240.92,239.54,240.46
248.7253811126359,242.164,235.6026188873641,240.47,240.61,237.54,238.5
248.74064496526347,242.1045,235.46835503473653,238.49,240.29,238.25,239.57
248.61846567559917,241.796,234.97353432440082,239.56,240.4,237.58,237.9
248.12237239379536,241.469,234.81562760620463,237.91,239.81,237.9,239.19
246.83830567493288,241.0815,235.32469432506713,239.19,241.36,239.0,240.81
245.80918776832715,240.75650000000002,235.70381223167288,240.82,241.45,240.13,240.45
245.2242220189363,240.5,235.7757779810637,240.44,240.89,239.3,239.55
243.92190425792995,240.0495,236.17709574207004,239.54,244.0,236.52,237.7
242.0916732830263,239.65,237.20832671697372,237.7,238.9,236.85,238.54
242.61336270855756,239.796,236.97863729144242,238.54,243.09,238.28,242.79
242.82161862449533,239.881,236.94038137550467,242.76,243.55,241.31,241.68
242.99787738649965,239.9205,236.84312261350036,241.69,243.17,241.43,242.77
243.84936598775104,240.12550000000002,236.401634012249,242.76,245.17,242.75,244.62
244.11432552681674,240.35950000000003,236.6046744731833,244.62,245.33,242.0,242.7
244.08496111208981,240.38000000000002,236.67503888791023,242.7,243.72,237.33,238.42
244.04749807234128,240.324,236.60050192765874,238.41,240.14,237.81,239.5
244.06291624250576,240.28050000000002,236.49808375749427,239.5,240.15,238.35,238.66
243.97977386075547,240.1375,236.2952261392445,238.67,238.88,237.0,238.4
243.98494479395058,240.14100000000002,236.29705520604946,238.39,240.71,237.75,240.61
243.97080172563426,240.1295,236.28819827436575,240.56,241.33,238.48,240.23
244.0823715311313,240.2775,236.47262846886872,240.21,241.66,239.47,241.46
244.11168053881627,240.32099999999997,236.53031946118367,241.42,242.09,240.03,240.44
244.04315351274806,240.38899999999998,236.7348464872519,240.45,241.45,239.25,239.26
244.04013588377546,240.4125,236.78486411622453,239.26,240.38,238.7,239.66
243.99443504656838,240.33,236.66556495343164,239.66,240.2,238.25,239.16
244.00905730477143,240.2125,236.41594269522858,239.16,240.03,238.02,238.1
244.08909783739017,240.10949999999997,236.12990216260977,238.12,238.81,236.83,237.49
244.03824606482675,240.15500000000003,236.2717539351733,237.49,239.02,237.39,238.61
244.04224870736599,240.15,236.25775129263403,238.59,239.39,237.9,238.44
