BB_UPPER,BB_SMA,BB_LOWER,Open,High,Low,Close
9397.831998990316,9210.0515,9022.271001009683,9208.99,9221.52,9131.0,9160.78
9422.19270211935,9217.9515,9013.710297880649,9160.78,9437.73,9152.8,9390.0
9474.248496797472,9239.5325,9004.816503202526,9390.0,9544.0,9261.0,9518.16
9536.78438425376,9266.783,8996.781615746238,9518.16,9664.0,9440.33,9603.27
9575.048047035765,9286.9,8998.751952964234,9603.27,9637.0,9463.44,9537.8
9642.301463154023,9318.450499999999,8994.599536845975,9538.1,9732.9,9513.0,9700.42
9772.365471271241,9347.817500000001,8923.26952872876,9700.42,10111.0,9650.0,9931.54
10297.34769276539,9436.446,8575.54430723461,9931.54,11394.86,9917.21,11029.96
10593.107581618617,9509.9565,8426.805418381384,11029.96,11242.23,10565.0,10906.27
10889.006165802459,9603.3615,8317.716834197543,10906.27,11342.82,10812.0,11100.53
11132.248333790532,9693.925,8255.601666209466,11100.52,11170.0,10831.0,11099.61
11394.319262423425,9798.9965,8203.673737576573,11099.79,11444.0,10960.0,11335.46
11732.629918616594,9923.9175,8115.205081383405,11335.46,11861.0,11220.0,11801.17
11863.514695956928,10015.354000000001,8167.193304043074,11801.17,12123.46,10518.5,11071.35
12000.1014141265,10113.552,8227.002585873499,11071.36,11473.0,10936.0,11219.81
12106.789530704747,10213.2705,8319.751469295254,11219.68,11414.98,11000.0,11191.97
12283.460601477884,10343.83,8404.199398522116,11191.99,11780.93,11093.0,11744.91
12427.789766639871,10474.237,8520.684233360127,11744.91,11900.0,11562.5,11762.46
12508.715162235192,10595.4345,8682.153837764807,11762.47,11909.94,11322.0,11594.23
12586.814116711761,10723.055499999999,8859.296883288236,11594.36,11808.27,11512.0,11761.41
12605.897298907475,10849.1005,9092.303701092525,11761.02,11797.11,11521.97,11681.68
12648.034870465717,10974.2465,9300.458129534281,11681.69,12067.35,11450.0,11892.92
12602.544371782684,11067.942500000001,9533.340628217318,11892.9,11935.0,11125.0,11392.08
12549.744108130892,11165.9955,9782.24689186911,11392.09,11617.52,11150.0,11564.33
12454.157673716869,11278.1055,10102.05332628313,11564.34,11792.96,11270.36,11780.0
12310.306475500704,11381.1115,10451.916524499298,11779.77,11850.0,11634.03,11760.54
12132.100997854244,11477.1545,10822.208002145757,11760.55,11980.0,11680.0,11852.4
12167.973889969011,11521.2065,10874.43911003099,11852.4,11931.72,11686.0,11911.0
12253.558150572526,11589.949499999999,10926.340849427472,11910.99,12468.0,11769.78,12281.13
12271.690963397583,11632.1735,10992.656036602419,12281.15,12387.77,11817.93,11945.01
12254.762667712677,11664.9225,11075.082332287324,11945.1,12020.08,11561.0,11754.59
12265.043756033314,11690.827,11116.610243966685,11754.38,11888.0,11668.0,11853.55
12253.31307776072,11677.3355,11101.357922239278,11853.54,11878.0,11485.81,11531.34
12207.71565887826,11706.916000000001,11206.116341121742,11531.23,11686.0,11376.81,11662.96
12175.148117722703,11728.331999999999,11281.515882277294,11663.51,11718.07,11514.13,11648.13
12124.797668637262,11756.1435,11387.489331362738,11648.12,11824.9,11585.09,11748.2
12152.313781859542,11734.819,11317.324218140457,11748.19,11767.85,11117.64,11318.42
12154.419340969116,11719.7675,11285.115659030884,11318.42,11539.32,11244.0,11461.43
12172.18443169588,11706.575,11240.965568304122,11461.42,11592.2,11125.0,11330.38
12166.417554171529,11694.85,11223.282445828472,11330.38,11542.65,11276.89,11526.91
12166.645016886403,11684.058,11201.470983113599,11526.9,11580.02,11417.04,11465.84
12147.741879028299,11674.97,11202.1981209717,11465.84,11719.0,11458.0,11711.16
12141.82872097822,11687.841499999999,11233.854279021778,11711.17,11800.77,11570.0,11649.51
12167.336605317647,11705.7235,11244.110394682353,11649.51,12050.85,11515.0,11921.97
12167.286864934156,11686.1505,11205.014135065843,11921.97,11954.57,11160.1,11388.54
12445.07050718861,11605.166000000001,10765.261492811393,11388.54,11462.6,9960.8,10140.85
12511.850313126799,11534.8585,10557.866686873202,10138.29,10627.05,9875.5,10446.25
12582.00658335688,11447.643,10313.27941664312,10446.25,10565.68,9825.0,10166.69
12528.012456779861,11346.396499999999,10164.780543220137,10166.69,10347.14,9994.86,10256.2
12490.140370650897,11267.818,10045.495629349101,10255.89,10410.75,9875.0,10373.44
12486.59506823125,11186.420999999998,9886.246931768746,10373.45,10438.0,9850.0,10126.65
12433.458378242649,11104.7035,9775.94862175735,10126.66,10343.0,9981.01,10219.2
12400.107642245888,11044.98,9689.852357754111,10219.29,10483.35,10070.83,10336.87
12333.911137822508,10981.2265,9628.541862177493,10336.86,10397.6,10200.0,10387.89
12255.871834884136,10920.866,9585.860165115864,10387.89,10477.97,10269.25,10440.92
12150.03951724739,10850.0975,9550.155482752609,10440.67,10580.11,10200.0,10332.83
12100.718077953958,10817.765000000001,9534.811922046045,10332.84,10750.0,10212.34,10671.77
12030.617070132832,10783.958999999999,9537.300929867166,10671.77,10930.04,10606.48,10785.31
11988.208372428722,10765.1405,9542.072627571277,10785.23,11093.0,10661.22,10954.01
11909.054211895365,10735.7945,9562.534788104635,10954.01,11045.46,10745.83,10939.99
11835.924162476855,10709.172,9582.419837523146,10940.0,11038.03,10812.84,10933.39
11718.354596862271,10677.6465,9636.93840313773,10933.4,11179.79,10887.37,11080.65
11585.125443226081,10641.185000000001,9697.244556773921,11080.64,11080.64,10723.0,10920.28
11295.604721407823,10565.9475,9836.290278592178,10920.28,10988.86,10296.35,10417.22
11141.432350771283,10523.001,9904.569649228717,10417.22,10572.71,10353.0,10529.61
