BB_UPPER,BB_SMA,BB_LOWER,Open,High,Low,Close
4.7767032273355525,3.59345,2.410196772664447,4.202,4.259,3.861,3.881
4.7716637181149135,3.661,2.550336281885087,3.881,4.06,3.774,4.01
4.74298333563946,3.7286499999999996,2.7143166643605388,4.004,4.088,3.892,4.012
4.684634867518621,3.7923,2.8999651324813787,4.008,4.1,3.918,3.963
4.598792325045738,3.8446,3.0904076749542613,3.967,3.969,3.786,3.825
4.513265233055622,3.8939500000000002,3.274634766944378,3.824,3.96,3.774,3.917
4.400360789518104,3.9334,3.4664392104818953,3.92,3.92,3.689,3.81
4.328210436965487,3.9506,3.572989563034513,3.811,3.92,3.288,3.593
4.303166378058413,3.9604500000000002,3.6177336219415874,3.593,3.792,3.552,3.751
4.3179619067638795,3.9527500000000004,3.5875380932361214,3.748,3.86,3.609,3.634
4.313543606384752,3.93525,3.5569563936152475,3.634,3.763,3.58,3.703
4.312452466925829,3.9288499999999997,3.5452475330741704,3.711,3.84,3.696,3.793
4.319602490387455,3.9319,3.5441975096125455,3.795,4.137,3.791,4.084
4.320713105966397,3.9339,3.5470868940336024,4.084,4.235,3.4,3.912
4.316846868955183,3.92695,3.5370531310448166,3.906,4.078,3.792,3.82
4.314031947111485,3.92565,3.5372680528885154,3.82,4.055,3.817,4.021
4.3239784804264705,3.9290000000000007,3.5340215195735314,4.019,4.214,3.945,4.144
4.328607930175121,3.93035,3.532092069824879,4.15,4.256,4.112,4.172
4.259513139412895,3.9131,3.5666868605871054,4.181,4.201,3.864,4.015
4.320891849054976,3.9242999999999997,3.5277081509450237,4.014,4.442,3.973,4.426
4.714621539044108,3.9939,3.2731784609558914,4.432,5.44,4.3,5.273
5.04588655272203,4.067099999999999,3.088313447277968,5.273,5.874,5.092,5.474
5.161344096208295,4.1123,3.0632559037917053,5.47,5.576,4.689,4.916
5.5247522054833595,4.20925,2.8937477945166403,4.916,6.04,4.858,5.902
5.867054790938087,4.3222499999999995,2.777445209061912,5.905,6.57,5.458,6.085
6.152892141928676,4.4312,2.709507858071323,6.083,6.604,5.916,6.096
6.388222933090502,4.54455,2.7008770669094986,6.101,6.35,5.895,6.077
6.611449237625553,4.6770499999999995,2.7426507623744456,6.077,6.391,5.781,6.243
6.742120846975723,4.7848500000000005,2.8275791530242778,6.246,6.318,5.86,5.907
6.825695191443514,4.89445,2.963204808556486,5.901,6.16,5.515,5.826
6.865601382498327,4.9918,3.117998617501672,5.825,5.934,5.3,5.65
6.988155004971954,5.117,3.2458449950280457,5.649,6.373,5.539,6.297
7.010385876766435,5.193099999999999,3.3758141232335634,6.299,6.6,5.596,5.606
7.107893918511221,5.31805,3.52820608148878,5.611,6.5,5.398,6.411
7.7151307083644305,5.553649999999999,3.3921692916355677,6.411,8.602,6.34,8.532
8.103940804295359,5.76315,3.422359195704641,8.535,8.56,7.668,8.211
8.460435329772242,5.974849999999999,3.489264670227757,8.211,8.877,7.786,8.378
8.600044298740565,6.15165,3.7032557012594345,8.377,8.653,7.642,7.708
8.594450286367513,6.31545,4.0364497136324875,7.707,7.923,6.894,7.291
8.631844712009428,6.4721,4.312355287990573,7.291,7.844,7.123,7.559
8.682363526452015,6.571949999999999,4.461536473547984,7.563,7.619,7.268,7.27
8.772914160401013,6.6793000000000005,4.5856858395989875,7.27,7.925,7.231,7.621
8.725504247745885,6.79375,4.861995752254114,7.622,7.819,7.14,7.205
8.752675010468993,6.8595500000000005,4.966424989531008,7.205,7.642,6.978,7.218
8.748690613422319,6.887449999999999,5.026209386577679,7.224,7.31,6.368,6.643
8.864673690628962,6.827600000000001,4.790526309371041,6.642,6.74,4.5,4.899
8.899069896484173,6.796900000000001,4.694730103515829,4.901,5.656,4.695,5.463
8.984371626204336,6.73065,4.476928373795665,5.468,5.675,4.56,4.918
9.026230567642953,6.6942,4.362169432357048,4.91,5.35,4.455,5.178
9.072252013292637,6.65555,4.238847986707362,5.177,5.258,4.571,5.053
9.11733085138735,6.6206499999999995,4.123969148612648,5.054,5.162,4.745,4.952
9.132553885705917,6.5718000000000005,4.011046114294084,4.954,5.493,4.888,5.32
9.1438247659893,6.5577,3.971575234010699,5.317,5.564,5.172,5.324
9.146715505426416,6.504250000000001,3.861784494573586,5.325,5.535,5.048,5.342
8.847314566928144,6.3578,3.868285433071857,5.345,5.719,5.18,5.603
8.58251716406928,6.2132499999999995,3.843982835930719,5.603,5.857,5.105,5.32
8.226301306846416,6.0634,3.9004986931535823,5.317,5.539,5.12,5.381
8.001096761325753,5.9213,3.8415032386742456,5.377,5.453,4.776,4.866
7.816738774621154,5.81285,3.808961225378846,4.864,5.189,4.682,5.122
7.53914155391521,5.688000000000001,3.8368584460847917,5.119,5.224,4.868,5.062
7.291433680083054,5.5728,3.854166319916946,5.067,5.214,4.773,4.966
6.880611249285312,5.438899999999999,3.997188750714687,4.961,5.04,4.859,4.943
6.528536661215192,5.31185,4.095163338784808,4.942,5.094,4.535,4.664
6.119757509756517,5.154999999999999,4.190242490243482,4.663,4.734,3.951,4.081
5.801670458087511,5.0333499999999995,4.265029541912488,4.084,4.275,4.022,4.21
5.915763733399072,4.98035,4.044936266600927,4.205,4.304,3.79,3.839
5.86297343307403,4.93135,3.99972656692597,3.844,4.55,3.78,4.483
5.858735452222337,4.925,3.991264547777663,4.483,4.802,4.353,4.791
5.83252882596556,4.89645,3.9603711740344396,4.791,4.819,4.466,4.607
5.816104176791065,4.8801499999999995,3.9441958232089345,4.603,4.803,4.523,4.727
5.809464017356352,4.87385,3.938235982643648,4.727,5.201,4.72,4.826
