ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
-0.5997665,-1.1090795,0.29940167,0.47535366,-0.37737778,-0.38429856,1.0292566,-0.24573582,-2.5232556,-1.8341513,-2.060098,-2.0199318,4
-0.60371727,-1.1082681,0.29658678,0.87474203,-0.17444609,-0.4046426,1.0296739,-0.2457477,-2.5230372,-1.8329986,-2.0607262,-2.019915,4
-0.6035687,-1.1073983,0.29612818,1.1744009,-0.011279724,-0.3678239,1.0113531,-0.24574728,-2.522864,-1.8318759,-2.0616233,-2.0193489,4
-0.6025639,-1.1054107,0.290501,1.3467971,0.10558442,-0.3379655,0.9426814,-0.2457447,-2.522989,-1.8307649,-2.062108,-2.0192761,4
-0.59803104,-1.102991,0.27885312,1.4665564,0.21557005,-0.37361252,0.84167933,-0.24574277,-2.522904,-1.8299689,-2.0625234,-2.0192378,4
-0.5961169,-1.1014395,0.2661344,1.5495453,0.3647307,-0.39638698,0.6584921,-0.24628614,-2.522189,-1.8296397,-2.0620458,-2.0188093,4
-0.5927202,-1.1000341,0.2611063,1.6088507,0.52815247,-0.36500433,0.45770517,-0.24605505,-2.520822,-1.8298637,-2.0618632,-2.0182965,4
-0.5947257,-1.0992454,0.2588042,1.6526146,0.64550036,-0.33670974,0.31466627,-0.24596944,-2.5199552,-1.8298247,-2.0628257,-2.0183957,4
-0.59610987,-1.1001716,0.25670707,1.6839074,0.72955585,-0.31627208,0.21214207,-0.24587053,-2.524219,-1.8296678,-2.0632231,-2.0186977,4
-0.5949054,-1.1015258,0.2549111,1.7059664,0.78976905,-0.3011446,0.13909958,-0.24580742,-2.5237494,-1.8296564,-2.0622692,-2.0171971,4
-0.60183424,-1.1029259,0.25360504,1.7222148,0.8329088,-0.29081437,0.08628618,-0.24574256,-2.5222764,-1.8297886,-2.0625405,-2.016319,4
-0.61119014,-1.1041714,0.25292742,1.733766,0.86381596,-0.28344762,0.048430804,-0.24571939,-2.521052,-1.830422,-2.0639482,-2.0179827,4
-0.62373894,-1.1042902,0.25259024,1.7419733,0.88596094,-0.27824706,0.02159975,-0.24570116,-2.5217257,-1.8299776,-2.0640023,-2.0194201,4
-0.64056873,-1.1040682,0.2526933,1.7478127,0.9018282,-0.27455413,0.0024242266,-0.24568786,-2.523714,-1.8291261,-2.0628276,-2.0199726,4
-0.65486604,-1.1043041,0.25191128,1.7516519,0.91319877,-0.27129427,-0.01076187,-0.24565578,-2.523938,-1.8287508,-2.0619857,-2.0191412,4
-0.659408,-1.1040746,0.25156006,1.7548672,0.9213435,-0.26949075,-0.02045894,-0.24562424,-2.523805,-1.82847,-2.0613825,-2.0158405,4
-0.66864145,-1.1043139,0.25180885,1.7572871,0.92718095,-0.26836237,-0.02751735,-0.24562661,-2.5216486,-1.8283246,-2.0609505,-2.011126,4
-0.68103063,-1.1044457,0.25176522,1.758879,0.93136424,-0.26747113,-0.03266823,-0.24564983,-2.5208972,-1.8282202,-2.060601,-2.007613,4
-0.6795622,-1.1032975,0.25236273,1.7599761,0.93436027,-0.2670171,-0.03600954,-0.24562716,-2.5198083,-1.8283868,-2.06028,-2.007138,4
-0.6802608,-1.1017885,0.2521262,1.7600691,0.9365065,-0.26588935,-0.038281277,-0.24563831,-2.5187068,-1.8285713,-2.060025,-2.008153,4
-0.6845046,-1.1004843,0.2517707,1.7612302,0.9380449,-0.2656707,-0.039906967,-0.24561788,-2.5179393,-1.8283972,-2.0599017,-2.008223,4
-0.6813358,-1.0992285,0.2519669,1.7619171,0.93914807,-0.26567325,-0.041263584,-0.24559788,-2.5173848,-1.8282723,-2.0598893,-2.0077133,4
-0.6838873,-1.098883,0.2517866,1.7622087,0.93993676,-0.2654805,-0.042144198,-0.24557702,-2.5173395,-1.8280514,-2.0594628,-2.0057817,4
-0.6902902,-1.0990018,0.25181708,1.762424,0.9405062,-0.26549894,-0.04253842,-0.24558657,-2.5170932,-1.8277477,-2.0586262,-2.0039365,4
-0.69325626,-1.0986449,0.25161806,1.7624803,0.94091284,-0.26530272,-0.042869303,-0.24559316,-2.5177877,-1.82758,-2.0578678,-2.0038257,4
-0.7016074,-1.0985981,0.25152087,1.7624747,0.94119954,-0.26469973,-0.04273565,-0.24563874,-2.5165036,-1.8274219,-2.0572412,-2.0029638,4
-0.7031773,-1.0985612,0.251885,1.7626321,0.9414093,-0.26491928,-0.04317407,-0.24561013,-2.5127733,-1.8272251,-2.056924,-2.0017323,4
-0.701492,-1.0981315,0.25151244,1.7628089,0.94155765,-0.26492256,-0.043220036,-0.24561408,-2.5114532,-1.8272156,-2.0566719,-2.001399,4
