Latitude,Longitude,Type,Depth,Magnitude
50799,-171607,0,15,5.7
51076,-171466,0,20,5.6
6789,-72907,0,160,5.6
-32441,-178803,0,45,5.9
-56046,157922,0,10,7.3
-7526,-81179,0,26.3,5.7
-5213,151701,0,60,6.5
-15449,166.98,0,25,7.2
-15.67,167216,0,30,5.8
-15685,167097,0,30,6.9
-15741,167.26,0,30,6
-15861,167092,0,30,7.6
-15817,167399,0,30,6.9
-5.36,152116,0,51,6.8
-15931,167392,0,35,5.9
-15.97,167439,0,30,5.8
-15995,166.96,0,25,6.1
-15871,166.96,0,25,7.4
-16198,167607,0,35,7.2
-16801,167602,0,35,6.2
-6.38,148543,0,30,6
-15819,166794,0,20,6
-11385,166332,0,35,5.7
-0.53,-19951,0,15,6.2
4872,95836,0,65,6.1
-15185,166.67,0,30,5.8
-15945,166999,0,25,6.2
-5714,128493,0,330,6.7
-18954,-68.82,0,124,6.7
-22887,-176194,0,75,6.1
-5921,103993,0,45,5.6
40459,26206,0,15,6
16081,-95867,0,25,7.4
15837,-96235,0,25,5.8
44453,149.06,0,30,5.7
-16931,167454,0,30,5.8
-6428,104667,0,55,5.7
-34596,179922,0,100,5.8
51867,175451,0,31,5.5
46515,153387,0,15,5.9
58.09,-152525,0,27.8,7
57513,-152263,0,25,5.7
6.47,-84408,0,15,6.2
-5349,152955,0,44.6,6.2
-6209,151651,0,15,6.1
-6416,70726,0,25,6.3
55338,165731,0,18.9,5.9
-36448,-97.6,0,15,6.1
8382,126895,0,35,5.8
7156,126522,0,160,6
-1443,-77476,0,185.9,6.5
36269,141533,0,35,5.8
36245,141.53,0,35,5.9
36.27,141361,0,35,6.8
8188,126874,0,25,6
28952,128227,0,197.6,6.7
20682,99326,0,35,5.9
-5391,151631,0,55,5.9
36395,141.46,0,35,6.3
13092,145167,0,45,5.6
39626,143357,0,27.5,5.7
-54757,-38244,0,10,5.8
51752,175.5,0,35,5.6
-28278,-177999,0,25,6.5
59.28,-144.06,0,20,6.1
49937,178166,0,19.7,6.8
-19921,174.48,0,545.5,6.2
-60468,-24551,0,10,6
49426,156417,0,50,5.9
-42969,-75225,0,22.2,5.9
12347,114485,0,20,5.9
-59225,-25091,0,20,5.8
56.19,-153615,0,25,5.6
3113,128558,0,192.4,5.7
-7981,156287,0,15,5.7
-1.28,127725,0,25,6.3
52366,174254,0,35,6.1
53901,-165403,0,45,5.6
4203,125787,0,145.1,5.9
49646,156116,0,60,5.6
44.12,145389,0,170,6.7
-1257,127735,0,25,5.6
-9031,-71139,0,593.8,6.7
-22457,-113788,0,15,6.1
-3144,143789,0,15,5.9
-22126,-113928,0,15,6.2
30628,140.23,0,20,6.4
43745,87843,0,35,6.5
-29414,-68166,0,45,5.7
36514,141229,0,40,5.7
-224,-18645,0,10,6.1
6553,126903,0,110,5.9
30887,-41479,0,10,6
25449,125319,0,94.7,5.7
-7058,129347,0,160,5.6
-18855,-177721,0,430,6.5
53909,160579,0,45,6
-7225,129.12,0,147.9,5.8
-6193,130402,0,133.3,6.5
51936,-176092,0,55,5.7
51361,-179716,0,25,5.9
2983,124831,0,20,6.2
51.42,-179.7,0,30,5.6
-8666,111103,0,55,5.8
33011,141079,0,60,5.6
-9611,159797,0,70,5.8
-45847,-72958,0,25,6.2
36096,27318,0,77.4,5.9
-4841,103103,0,60,5.8
51101,-170604,0,15,5.8
52612,173.14,0,35,5.6
18919,-107176,0,25,6.7
-6458,146298,0,122.5,6.3
-37199,177558,0,175,6
17135,-100126,0,35,6.4
-18108,-178062,0,645,6.2
-11292,166143,0,52.8,5.9
44688,149939,0,29.2,6
44757,150195,0,23.1,5.6
-56722,-141439,0,15,5.8
7.65,-81913,0,25,6.3
52293,160356,0,26.9,5.8
58335,-153303,0,52.4,6.1
60481,-140766,0,20.1,5.6
-18096,-178979,0,621.8,6.2
-5201,151583,0,80.1,5.9
27863,141992,0,45,5.8
54.21,-164476,0,35,5.6
-16673,-71111,0,100,5.8
13248,95.42,0,25,5.8
586,120141,0,35,5.9
33675,137244,0,15,6
52829,172048,0,22.5,5.7
52764,172058,0,22.5,5.8
37883,138151,0,10,5.8
55956,-153942,0,20,6.2
30013,69606,0,10,5.8
-59548,-26465,0,60,5.6
-17114,168559,0,10,6
51514,157119,0,115.6,5.6
-24837,-64413,0,25,5.7
211,123555,0,158.6,5.7
16709,119973,0,61.1,5.7
24.13,121966,0,25,5.8
-15899,167914,0,180,6.4
39093,21777,0,10,6.2
26246,103187,0,10,6.4
50023,155506,0,119.4,5.9
29956,69761,0,10,6.5
30276,70041,0,10,6.5
-56.79,-25965,0,40,6.3
-9851,116376,0,45,5.8
31193,142001,0,35,5.8
20711,146163,0,45.7,6.5
-6561,132642,0,35,6
26.12,103222,0,10,5.9
-17.67,168021,0,35,6.6
-32265,78866,0,15,6.6
-32233,78999,0,15,5.7
6709,123842,0,35,5.9
-55495,-27079,0,15,6
26.14,125744,0,120,5.6
-5388,151592,0,35,6.9
-15404,-172843,0,20,6
52.55,173462,0,35,5.6
43691,139738,0,217.6,5.6
29244,130344,0,45,6
-25983,-70328,0,64.7,5.7
48256,154425,0,45.8,5.8
-38747,178061,0,30,5.9
31525,80487,0,20,6.7
31422,80554,0,20,6.3
37156,114875,0,25,6.5
-13696,166555,0,35,6.2
1903,126334,0,35,6.2
1742,126337,0,35,5.6
-19991,-68842,0,108.6,5.8
24122,122583,0,30,7.5
-21149,-179093,0,625,6.7
-52655,19709,0,10,5.6
622,29863,0,29.3,6.6
-21176,-174429,0,25,5.6
37535,115039,0,20,6.2
37545,115061,0,20,6.8
23973,122938,0,49.5,6.2
-13626,166829,0,30,5.9
37714,115275,0,20,6
37798,115096,0,20,5.9
8865,-83467,0,25,5.7
23869,142248,0,80,6
37464,115127,0,20,6
36617,141121,0,48.5,5.7
12.01,92483,0,10,5.8
-45685,96003,0,10,6.3
56382,-154604,0,26.2,5.6
26199,127507,0,49.7,5.7
51301,157703,0,46.6,6.2
9409,-84282,0,25,5.8
-14074,166724,0,55,5.7
-31452,-71049,0,60.5,6.1
18113,-102557,0,30,5.7
-38231,-72695,0,35,6.3
-38194,-73198,0,45,5.9
56896,-153601,0,15,6.2
18.82,147221,0,25,6
41703,48238,0,20,6
35581,142171,0,10,6
35.6,142037,0,10.9,5.9
-37656,-73428,0,21.4,5.9
57271,-152483,0,20.9,5.8
-711,122191,0,20,6.5
-0.57,122235,0,35,6.1
-8341,-74142,0,161,6.4
-5996,149735,0,35,6.1
-8495,114967,0,105,5.6
24298,122595,0,50,6.2
34425,26455,0,25,6
48888,156275,0,24.7,6.2
48848,156288,0,25.7,5.6
48853,156133,0,20.6,5.8
34023,138983,0,10,5.7
51.41,-178291,0,35.1,6.1
-6974,129352,0,201.1,5.7
-44195,-75478,0,19.5,5.6
24.97,-109085,0,20,5.9
53934,-164122,0,32.3,6
13901,146481,0,25,6.1
19374,122147,0,60,5.5
30081,139992,0,20,5.7
13894,146.41,0,25,5.7
-6384,131044,0,65,5.7
-21658,169814,0,35,5.7
-52772,160124,0,10,6.1
24274,122631,0,50,5.8
-23461,-174657,0,15,5.8
50993,175957,0,20.6,5.5
-47,123.13,0,140,5.8
46418,152735,0,39.1,6
-14929,167839,0,15,5.6
36421,71224,0,215.6,6.6
9528,126505,0,25,6
-14828,-75835,0,20,6.2
24328,122.66,0,35,5.6
11323,139593,0,35,6.8
44238,147766,0,93.2,5.7
51399,-178.35,0,35,5.6
-21242,174342,0,25,6.1
-12191,167132,0,241.6,6.7
-10318,161006,0,45,7.1
-10061,161149,0,45,6.8
-10033,160937,0,45,5.9
-10172,160.85,0,45,5.7
-11022,165171,0,30,5.8
50164,157767,0,45.5,5.5
-7.24,124583,0,531.8,7
43726,140.19,0,225,5.6
29504,80845,0,25.9,6
29543,80915,0,25,5.7
29706,80935,0,25,6.3
-38.36,177139,0,115,5.6
-13794,166644,0,45,6
24739,122414,0,112.5,6.4
51745,176296,0,30,5.8
51826,179778,0,15,6.8
51867,-179.88,0,15,5.8
24303,125186,0,35.6,6.1
-19474,-173254,0,25,6
44707,37272,0,39.3,5.7
56241,164754,0,15,6.4
51748,-173478,0,29.7,5.6
-17757,-178.55,0,594.4,6.4
51664,-173677,0,31.3,5.7
-24.16,-70082,0,33.5,5.8
29937,68778,0,20.2,6
29906,68681,0,25,6.2
29988,68588,0,25,6.9
-10987,162767,0,35,5.7
50513,-171301,0,19.7,6.9
-10692,161237,0,35,5.6
31.0395,-113.7773333,0,6,6.35
19279,-108.27,0,30,6
-20161,-175228,0,98.8,6
-23495,-175808,0,35,5.9
52563,-161.63,0,17.2,5.8
28565,78961,0,27,5.6
13295,121467,0,19.8,6
3487,64014,0,10,6
36395,70903,0,196.4,5.8
37.38,-114157,0,10,5.7
-21343,171484,0,15,6.2
-5026,125119,0,540,5.7
52156,175053,0,41.9,5.6
14478,-91.84,0,68.4,5.8
-111,125071,0,55,6.1
-7,125026,0,32.5,6
39235,41572,0,24.7,6.8
-3195,-77166,0,113.3,5.7
42981,140708,0,159.4,5.8
39438,41094,0,25,6.2
-23734,-175678,0,35,6.1
8.48,126645,0,35,6
-1741,134.06,0,25,5.9
-22499,170742,0,20,6.3
23873,123228,0,25,5.7
-27693,-177185,0,55,5.8
-22128,170.04,0,10,6
-36094,178575,0,170,5.7
61197,-147781,0,29.6,5.6
2388,128.49,0,115,7.7
45401,150549,0,35,5.6
6761,-72976,0,161.1,5.9
-22987,170.75,0,15,6.3
39385,-120252,0,10,5.9
-60244,-27199,0,20,6.7
-60256,-26922,0,20,6.2
22924,121507,0,30,6.2
27775,54227,0,20,5.7
18261,-100985,0,80.3,6
27419,92576,0,14.4,5.9
27412,100103,0,20,6.3
-21558,170596,0,150,6.9
61.58,-150126,0,55,5.6
-16654,-177279,0,15,6.1
-60354,-26485,0,20,6.1
-11793,121601,0,20,6
-31241,-177747,0,25,5.8
29734,142669,0,15,5.7
-56111,-27.62,0,100,5.7
-10665,-78228,0,40,8.1
-1571,-15611,0,15,7
-18319,167.58,0,35,5.7
22232,145978,0,10,6.7
38796,21242,0,25,5.9
19102,-67878,0,26.5,6
-15.37,-175109,0,15,6.4
-31973,-68301,0,113,6.1
52141,-169158,0,29.2,5.6
-23822,-67863,0,135,5.6
41746,144389,0,32.5,6
-15681,167258,0,35,6.3
17042,-61885,0,79.4,5.6
48019,146857,0,460,5.9
-57964,-25518,0,35,5.8
-14851,167051,0,35,5.9
-25563,-70497,0,51.8,5.7
6.6,-82746,0,16.7,5.6
-13954,167045,0,125,6.8
3251,128174,0,75,5.7
44475,151655,0,15,5.9
14351,-91963,0,70,5.7
-3424,145703,0,25,6.3
-4928,144.05,0,65,6.3
21487,94322,0,94.3,5.7
29535,80823,0,20,5.7
-26123,-63152,0,578,6.3
37.3021667,-116.4083333,1,1.2,5.62
-19.98,169834,0,230,6.3
-7039,148256,0,30,6.6
37126,141202,0,55.3,5.6
-25494,-70.55,0,25,7.7
-32838,-111783,0,10,5.6
-12091,166552,0,55,7.8
-12326,166491,0,35,7.1
-15237,-173608,0,30,6.5
-11.2,165416,0,30,5.9
-10187,28424,0,29.1,5.6
-12347,166221,0,30,6
-11093,165668,0,30,6.1
-11112,165536,0,30,5.6
-12376,166473,0,30,5.8
20318,120114,0,21.6,5.6
10881,-62.33,0,92.6,5.5
48168,103036,0,13.2,7
48477,103021,0,17.5,5.8
48.04,103013,0,17.5,5.9
41878,143482,0,39.3,5.9
-1461,126477,0,30,5.6
-48873,112803,0,15,6
11854,142866,0,15,5.7
-149,120033,0,35,5.7
33989,45738,0,35,6.1
-10515,161406,0,40,6.2
-11248,165623,0,30,6
-27335,-63204,0,590.9,6.2
38244,142152,0,45.8,6.6
56564,120947,0,25,5.5
52565,-168501,0,26,5.9
-11903,166494,0,140,5.9
48105,103064,0,20,6.4
-49917,-114881,0,25,6.3
19973,-109129,0,30,6
41.5,142.2,0,68,5.7
-922,-21081,0,10,6.5
36715,71625,0,273.2,6
52.45,-169603,0,35,6.8
52288,-169353,0,35,5.6
52242,-169468,0,39.9,5.8
26107,96115,0,25,5.6
2619,-84363,0,10,5.6
-57.94,-25663,0,65,6.1
-5542,110478,0,550,5.6
56521,-157326,0,62,5.7
2849,-74798,0,55,7
52812,-34.14,0,10,7
13555,96463,0,30,6.8
-13303,171408,0,630,5.8
-9163,-71274,0,600.4,7
-23878,-175078,0,15,6.5
-5873,153267,0,35,5.6
-8965,113017,0,80,6.3
-72,124213,0,95,5.9
33617,75333,0,20,5.5
-19516,169216,0,90.6,5.8
26184,128611,0,31.9,6
-77,123947,0,75,5.9
-114,123969,0,80,5.9
32608,141649,0,25,6
-214,-78595,0,118.9,6
21398,121823,0,131.1,5.7
-18558,-175286,0,226.7,5.7
39.1,24684,0,15,6.6
-10617,166198,0,15,5.9
-10622,166333,0,15,5.9
-10821,166388,0,55,5.9
19263,-95801,0,28.7,5.9
-40.17,-74722,0,20,5.7
19581,38874,0,20,5.6
28463,94248,0,16.9,5.7
-3575,150909,0,25,6.2
-6075,146354,0,110,5.7
-6727,129744,0,97.7,6.2
45527,151188,0,40,6.7
45672,151301,0,35,5.8
45438,151511,0,34.5,5.7
-5972,112225,0,598,6.7
45201,151551,0,30.4,5.9
-9182,148623,0,20,5.7
38474,116608,0,29.7,6.1
-16438,168214,0,15,6.4
-11114,115227,0,15,6.2
45718,151.83,0,35,6.1
45661,151789,0,45,5.8
45617,151703,0,29.8,6.1
-6024,151499,0,22.5,5.9
20036,147311,0,27.1,5.9
19992,147227,0,25,5.7
20.07,147252,0,25,5.8
-3989,135677,0,15,6
-7359,155753,0,35,5.7
-7222,155833,0,35,6.1
-63.66,-167459,0,10,6.1
5121,96286,0,50,6.7
5349,96483,0,50,5.6
18309,-100125,0,85,5.8
-5605,129639,0,175,5.7
-5401,126688,0,10,6.2
13558,146268,0,15,5.7
51.42,-178261,0,31.6,5.7
-1808,138694,0,20,5.8
39528,21267,0,25,6.2
-55604,-28129,0,30,5.9
-10425,161494,0,40,5.8
5161,127412,0,90,5.7
39365,73787,0,15,5.6
-20304,-68821,0,109.4,6.1
-59076,-65.47,0,10,5.7
-897,101313,0,179.3,6.7
-56191,-27608,0,125,5.8
51851,176105,0,30.7,5.8
36034,77714,0,20,5.9
12115,143729,0,20,5.8
53567,-165718,0,50,5.8
-6794,154934,0,15,5.6
58207,-151453,0,27.8,5.6
-41394,-73809,0,31.9,5.7
-44881,35508,0,10,5.8
47649,154.23,0,40,6
-15052,-73315,0,97,5.7
-15406,-173343,0,29.6,6.2
47449,154503,0,35,5.6
-58375,-26956,0,163.4,6
52539,-166912,0,27.1,6.1
52638,-167155,0,27.6,5.9
-2336,-77519,0,15,5.7
64.65,-147798,0,10,5.7
-25076,-70394,0,35,6.2
-5859,130325,0,90,5.8
-19142,167.74,0,16.4,5.6
12531,141665,0,20,5.7
12488,141655,0,20,5.8
-9543,157752,0,25,5.6
-47085,165844,0,30,5.7
-7249,128596,0,150,5.5
54358,-158087,0,27.5,6.5
8823,93637,0,15,6.1
43136,142.67,0,158.1,5.7
52557,-168.19,0,27.3,6.1
8571,125941,0,200,5.7
4894,126855,0,75,5.7
5479,-82732,0,20,6.1
-869,132.73,0,30,6.2
7557,134.69,0,20,6.4
-33451,-178828,0,20,6.1
40751,30.8,0,30,7.4
39568,40445,0,20,6.2
6747,-73032,0,161.2,6.8
10559,-67.33,0,25,6.6
40764,30609,0,15,5.7
-13.02,-76731,0,50,5.7
-6484,130544,0,105,5.9
45342,150317,0,35,5.6
-24719,-177.33,0,143.6,6.7
-14.89,166756,0,20,5.7
35388,135.43,0,364.3,6.3
43094,-731,0,10,5.7
-4.41,152439,0,20,6.3
31079,93639,0,20,5.7
873,98876,0,75.1,5.7
27693,127685,0,110,5.6
10295,125881,0,35,6
-12481,166652,0,85,5.7
-25265,-69044,0,103.2,5.8
3697,95669,0,39.1,6.6
-60761,-24301,0,10,6.6
-60898,-23378,0,10,5.7
43565,147578,0,65.9,5.6
-14.94,166902,0,25,5.8
12173,140765,0,20,6.2
12273,140896,0,20,5.6
31633,100262,0,10,6.4
31587,100255,0,10,5.8
45444,151353,0,35,6
-5615,147201,0,185,5.7
-10656,-79674,0,15,7
-31278,-179422,0,236.1,6.5
14596,93.48,0,32.9,5.7
2626,124226,0,275,5.9
12.27,140953,0,15,6.1
-27623,-63.23,0,580.4,6.7
-54.55,-136196,0,10,6.3
52741,172489,0,25,5.6
35607,140738,0,45,5.8
27338,91.91,0,13.7,5.8
51721,-176222,0,55,5.6
-5985,146.6,0,35,5.8
43065,145297,0,80,6.1
-57799,-23802,0,10,6.3
-49736,164009,0,20,7
-49588,163812,0,20,5.7
-20729,169932,0,100,6.2
44626,149487,0,40.6,6.2
-33463,-70532,0,83.1,5.9
-30086,-71446,0,50,6.2
-6.52,153465,0,15,6.2
59335,-147157,0,20,5.9
28984,129.95,0,30,5.7
10878,-85964,0,30,6.2
-5631,153959,0,25,6.8
49107,156309,0,32.4,5.6
-9445,148843,0,20,5.7
-5623,154057,0,35,5.9
-21182,-179186,0,636.8,7.2
30449,142687,0,10,5.6
-21025,-179146,0,642.9,5.6
52.13,152592,0,461.8,5.8
-7131,129828,0,88.2,6
11925,-85872,0,160.4,7.1
1715,127493,0,125,5.7
17241,121886,0,35,5.7
79765,2851,0,15,6
-33799,-179.34,0,35,5.7
24401,122218,0,71.1,6.8
24416,122275,0,75,5.7
-4624,135649,0,15,5.7
-17727,-178856,0,550,5.6
37317,141846,0,35,6
43523,144316,0,30,6.7
43502,144261,0,30,5.6
-2704,-77631,0,93.7,6.1
-15043,-172636,0,46.7,5.6
16853,-85789,0,20,5.6
-5233,133932,0,30,5.6
51094,178524,0,30,5.8
-7163,123752,0,584.2,6.2
-6157,71342,0,22.4,5.9
-17279,-171847,0,15,6.4
-5.46,147112,0,210,5.9
-28865,-71369,0,34.8,6.3
28381,-43765,0,15,5.7
36.44,141272,0,35,5.8
-22642,171.04,0,20,6.4
72763,8011,0,15,5.7
-22687,170.92,0,20,5.9
14432,52099,0,11.9,6.5
80161,-794,0,15,6.5
28583,130138,0,35,5.7
-8046,112981,0,145,5.7
-31128,-71396,0,60.5,5.6
32165,130844,0,130.1,5.6
41386,20532,0,20,6.7
49439,154435,0,143,6.3
-14591,167312,0,140,5.6
-10862,164226,0,10,5.8
40478,-124656,0,20,5.6
17412,73885,0,15,6.6
47594,152727,0,140,5.8
-19164,168656,0,40,5.7
51.22,157619,0,50,6
12062,143799,0,20,5.7
-21865,-69939,0,45,7.3
-5206,151831,0,45,5.9
17351,-61232,0,15,6.4
17543,-61.31,0,15,6.2
-5208,153742,0,35,7.2
-21.58,-70299,0,46.4,6.3
-21362,-68311,0,114.7,6.7
-22548,-174673,0,15,6.5
-7103,154844,0,10,5.7
-5175,153421,0,60,5.9
52226,-171468,0,26,6.1
-9779,148835,0,15,5.8
-27845,-70873,0,30,6.4
-5042,153961,0,116.6,5.7
33623,141938,0,15,6
23965,122161,0,35,6.1
-24.28,-67006,0,179.2,5.7
-7552,127871,0,116,6
52619,-171445,0,10,5.6
52.53,-171418,0,10,6.2
37702,13033,0,10,6.4
-9213,158542,0,27.5,6.7
-42559,-75278,0,17.5,5.7
-16097,178131,0,20,5.7
-30116,-179547,0,356.6,6.1
