timestamp,open,high,low,close,volume
1.47796E+12,699.4035812,741.3162037,696.7569567,735.2000674,46336996.68
1.47804E+12,732.0670644,747.296042,721.2652245,745.204785,27301836.23
1.47813E+12,744.6085647,750.6959341,674.1155705,689.6690896,67097735.92
1.47822E+12,689.5094914,709.1265798,683.6078472,704.0625639,33711504.23
1.4783E+12,706.5257474,711.9707139,688.4190832,705.3178492,14372921.11
1.47839E+12,705.2186028,727.6490776,698.6963893,714.0885708,19098610.49
1.47848E+12,714.3047525,717.9238565,692.2944785,700.0643065,18842826.41
1.47856E+12,704.8575146,715.9100955,694.8529023,712.5474049,26408179.15
1.47865E+12,711.0365972,742.7329802,707.4343704,724.7135545,50504526.49
1.47874E+12,723.459258,724.9295024,706.1091619,713.659531,23148041.56
1.47882E+12,711.415126,721.8179676,709.7138135,716.993638,18996422.83
1.47891E+12,716.0296559,721.547398,700.5470533,702.8701051,18318541.44
1.479E+12,702.9694411,710.8181596,683.847312,704.0926823,24891223.84
1.47908E+12,702.6461812,713.85,695.595226,705.6024641,27259482.16
1.47917E+12,705.4480391,719.4638626,700.1449954,712.825799,32686495.36
1.47925E+12,712.6780731,746.8186373,705.69,746.6794371,57863466.16
1.47934E+12,746.2754874,758.1846611,732.94,735.804958,48852098.76
1.47943E+12,737.0706312,773.58,731.4031658,750.1668563,28357510.73
1.47951E+12,747.7255169,764.0629694,743.1119315,758.3367209,18044524.93
1.4796E+12,756.4688816,772.95,715.9852391,730.9120166,35013607.95
1.47969E+12,733.1282916,749.89,728.6572712,738.1626292,22964013.36
1.47977E+12,740.1787143,755.1685607,729.4,749.6946518,31488384.4
1.47986E+12,750.7634165,753.6772887,730.7690723,740.7169669,27283004.16
1.47995E+12,744.930473,755.2104499,728.0691153,736.4401672,23239305.88
1.48003E+12,735.7434982,747.3260939,727.3151112,739.0326274,18179777.38
1.48012E+12,737.901261,749.6,722.994072,736.565288,15428467
1.4802E+12,737.540926,746.2,724.0504627,729.4272782,13792799.31
1.48029E+12,727.234972,743.8689041,727.102742,736.0960605,22364615.32
1.48038E+12,735.6437118,754.1,727.5272391,731.4229921,21885785.8
1.48046E+12,734.7198041,751.4576129,729.0323974,744.9909957,26091930.65
1.48055E+12,742.6601232,756.7015157,741.1132346,753.1592066,37261966.29
1.48064E+12,754.1945845,788.6153522,753.1145177,779.3096917,38054204.82
1.48072E+12,778.7204131,827.0138827,728.7327398,764.7209445,29987716.3
1.48081E+12,763.5955722,790.40159,749.3504765,765.4077248,14573883.04
1.4809E+12,771.0257366,789.417564,744.841683,751.2150711,40253194.19
1.48098E+12,750.852511,778.2625047,750.3380381,758.6055705,25699892.23
1.48107E+12,758.4703057,770.744876,751.6882472,764.9623201,27509212.29
1.48116E+12,764.2411046,774.3269058,761.6961598,764.7731862,22942182.73
1.48124E+12,765.3953859,775.6315356,764.773251,775.158948,17829802.7
1.48133E+12,772.4926445,778.6572958,766.7192656,772.8926255,12938780.87
1.48141E+12,771.6466735,781.2907004,758.07,770.003472,15798671.58
