WebPage,degree_centrality,WebPage,betweenness_centrality,WebPage,closeness_centrality
https://uby.deu.edu.tr/ders-verenler/,0.04890738813735693,https://mezun.deu.edu.tr/,0.010979920918235889,https://uby.deu.edu.tr/gastronomi-ve-mutfak-santlari/,0.35958378548301195
https://uby.deu.edu.tr/gastronomi-ve-mutfak-santlari/,0.048387096774193554,http://www.deusam.deu.edu.tr/,0.010692141393490675,https://hukuk.deu.edu.tr/dekan-mesaji/,0.35902306227107583
https://iibf.deu.edu.tr/akademik-birimler/ekonometri/,0.045785639958376693,https://covid19.deu.edu.tr/deude-uzaktan-ogretim-faaliyetleri/ogrenci-isleri-daire-baskanligindan/#1605523135653-a548549b-57c1,0.010683271448728627,https://www.deu.edu.tr/,0.35806588014549195
https://hukuk.deu.edu.tr/dekan-mesaji/,0.04474505723204995,https://denizcilik.deu.edu.tr/fakulte-kalite-ve-akreditasyon-ile-birim-stratejik-plan-komisyonu/,0.009978554791576104,https://iibf.deu.edu.tr/idari-birimler/teknik-hizmetler/,0.35758920047367637
https://webmail.deu.edu.tr/ogrmail/src/login.php,0.04422476586888658,http://lokal.deu.edu.tr/,0.0098938042194788,https://isletme.deu.edu.tr/tr/misyonumuz-vizyonumuz-ve-degerlerimiz/,0.35687655592003087
https://iibf.deu.edu.tr/idari-birimler/teknik-hizmetler/,0.04422476586888658,https://tip.deu.edu.tr/tr/,0.009800698416217498,http://dehis.deu.edu.tr/kalite/iletisim.php,0.35640303550085345
https://international.deu.edu.tr/farabi/gelen-ogrenci-farabi/,0.042663891779396466,http://tucrin.deu.edu.tr/index.php/kalite-yoenetimi,0.009639094063747565,http://fen.deu.edu.tr/tr/bilgi-islem/,0.35569510627562556
https://prodeb.deu.edu.tr/news/sanayi-yenilik-ag-mekanizmasi-sayem-2-faz-cagrisi/,0.042663891779396466,https://efesmyo.deu.edu.tr/tr/deniz-ve-liman-isletmeciligi-programi/,0.009428570281228272,http://kariyer.deu.edu.tr/,0.35522471380534704
https://iibf.deu.edu.tr/fakulte-hakkinda/komisyonlar/,0.042663891779396466,https://hukuk.deu.edu.tr/fakultemiz/mezun-bilgi-sistemi/,0.009370956735687126,http://edebiyat.deu.edu.tr/,0.353433010205013
http://edebiyat.deu.edu.tr/,0.041623309053069726,https://www.deu.edu.tr/duyurular/improving-nursing-education-and-practice-in-covid-19-pandemic-process/,0.00931848669958607,https://www.deu.edu.tr/duyurular/improving-nursing-education-and-practice-in-covid-19-pandemic-process/,0.3532780636858526
