Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Kadri'nin götürdügü yere git,Onur Tan,3.1,1411,"
Comedy, Romance            ",(2009)
Dönerse Senindir,Erol Özlevi,4.8,1407,"
Comedy, Romance            ",(2016)
Ask Kirmizi,Osman Sinav,5.1,1384,"
Action, Drama, Romance            ",(2013)
Bu Iste Bir Yalnizlik Var,Ketche,5.7,1341,"
Romance            ",(2013)
Keriz,Kartal Tibet,6.7,1294,"
Comedy, Romance            ",(1985)
Asik Oldum,Ertem Egilmez,7.0,1277,"
Comedy, Romance            ",(1985)
Sev Kardesim,Ertem Egilmez,6.7,1256,"
Comedy, Romance            ",(1972)
Romantik,Sinan Çetin,4.4,1233,"
Drama, Romance            ",(2007)
Dilâ Hanim,Orhan Aksoy,7.4,1218,"
Romance            ",(1977)
Her Sey Asktan,Andaç Haznedaroglu,5.5,1217,"
Drama, Romance            ",(2016)
Sonsuz Ask,Ahmet Katiksiz,6.1,1198,"
Romance            ",(2017)
Roza of Smyrna,Kordellas George,6.7,1176,"
Drama, Romance            ",(2016)
Turist Ömer Boga Güresçisi,Hulki Saner,6.9,1164,"
Comedy, Romance            ",(1971)
Rüzgar,Serkan Acar,5.8,1147,"
Comedy, Family, Romance            ",(2018)
Keloglan ile Cankiz,Metin Erksan,6.1,1122,"
Comedy, Drama, Romance            ",(1972)
Ikinci Sans,Özcan Deniz,5.7,1113,"
Romance            ",(2016)
Cinar Agaci,Handan Ipekçi,6.2,1086,"
Comedy, Drama, Romance            ",(2011)
Kendime Iyi Bak,Ruhi Yapici,6.3,1077,"
Romance            ",(2014)
Kardesim Benim 2,Mert Baykal,4.6,995,"
Comedy, Romance            ",(2017)
Dönüs,Türkan Soray,7.9,988,"
Drama, Romance            ",(1972)
Yangin var,Murat Saraçoglu,6.4,978,"
Comedy, Drama, Romance            ",(2011)
Devlerin Aski,Osman F. Seden,7.4,945,"
Drama, Romance            ",(1976)
Aci Tatli Eksi,Andaç Haznedaroglu,6.1,942,"
Drama, Romance            ",(2017)
Güllü Geliyor Güllü,Atif Yilmaz,6.4,917,"
Comedy, Romance            ",(1973)
Bir Varmis Bir Yokmus,Ilksen Basarir,5.6,893,"
Drama, Music, Romance            ",(2015)
Hayat Öpücügü,Senol Sönmez,5.9,875,"
Comedy, Drama, Romance            ",(2015)
Reminiscence,Akçay Karaazmak,4.8,870,"
Horror, Romance, Thriller            ",(2014)
Beni Unutma,Özer Kiziltan,6.2,833,"
Drama, Romance            ",(2011)
Saka ile karisik,Osman F. Seden,7.8,826,"
Comedy, Drama, Romance            ",(1965)
Seni Seviyorum Adamim,Biray Dalkiran,5.2,813,"
Romance            ",(2014)
Gitmek: Benim Marlon ve Brandom,Hüseyin Karabey,6.7,781,"
Drama, Romance, War            ",(2008)
Kara gözlüm,Atif Yilmaz,7.1,765,"
Comedy, Romance            ",(1970)
Ah Müjgân Ah,Mehmet Dinler,7.7,743,"
Drama, Romance            ",(1970)
Türev,Ulas Inan Inaç,6.5,724,"
Drama, Family, Romance            ",(2005)
Yüregine Sor,Yusuf Kurçenli,6.1,711,"
Drama, Romance            ",(2010)
Dünyanin En Güzel Kokusu,Mustafa Ugur Yagcioglu,5.5,687,"
Drama, Romance            ",(I) (2016)
Hayatimin kadinisin,Ugur Yücel,6.0,678,"
Romance            ",(2006)
Biçkin,Orhan Aksoy,6.3,676,"
Comedy, Romance            ",(1988)
Öyle Olsun,Orhan Aksoy,6.7,659,"
Comedy, Romance            ",(1976)
