Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Bize Türk derler,Nuri Akinci,7.0,9,"
Drama, War            ",(1965)
Gönüllü kahramanlar,Tunç Basaran,6.4,9,"
Drama, War            ",(1968)
Hürriyet sarkisi,Faruk Kenç,5.9,9,"
Drama, War            ",(1951)
Meçhul kahramanlar,Agah Hün,5.2,9,"
Drama, Romance, War            ",(1958)
Meteler,Burak Akyol,5.6,8,"
Action, War            ",(2019)
Ayyildiz fedaileri,Semih Evin,5.9,8,"
Drama, War            ",(1966)
Kartallarin öcü: Severek ölenler..,Osman F. Seden,5.9,8,"
Drama, War            ",(1965)
Onüç kahraman,Sadan Kamil,7.1,8,"
Drama, War            ",(1945)
Öldürmek hakkimdir,Nuri Ergün,6.9,8,"
Adventure, Drama, War            ",(1968)
Topal Osman,Ural Ozon,7.1,7,"
Drama, War            ",(1966)
Beklenen bomba,Muharrem Gürses,4.1,7,"
Drama, War            ",(1959)
Refugee: The Long Journey of Anar Usubov,Anar Usubov,8.2,6,"
Drama, History, War            ",(2011)
Fedailer mangasi,Ilhan Engin,5.3,6,"
War            ",(1971)
Ankara ekspresi,Aydin Arakon,5.0,6,"
Drama, Romance, War            ",(1952)
Çete,Çetin Karamanbey,4.8,6,"
Drama, Adventure, War            ",(1950)
Istiklal madalyasi,Ferdi Tayfur,6.2,6,"
Drama, War            ",(1948)
Allahaismarladik,Nejat Saydam,3.4,5,"
Drama, Romance, War            ",(1966)
Kore gazileri,Seyfi Havaeri,5.0,5,"
Drama, War            ",(1951)
The First Gokturk,Alper Caglar, , ,"
History, War            ",
Sahibini Arayan Madalya,Yücel Çakmakli, , ,"
War            ",(1991)
Dag III,Alper Caglar, , ,"
Action, Thriller, War            ",
Dajjal the Slayer and His Followers,Abrar Rana, , ,"
Animation, Action, War            ",(2019)
The Legend of Mirage,Metude, , ,"
Action, Adventure, War            ",(2017)
Hannibal Barca,Gary Anthony Sturgis, , ,"
War            ",
Zafer Kartallari,Seyfi Havaeri, , ,"
Drama, War            ",(1975)
Silaha yeminliydim,Ugur Duru, , ,"
Adventure, Fantasy, War            ",(1987)
Turkish Delight,Eris Akman, , ,"
Drama, War            ",(2017)
Treaty of Lausanne,Omer Sarikaya, , ,"
Drama, War            ",
The Judge of Mountains,Aziz Cem, , ,"
War            ",(2009)
Sehitler,Çetin Inanç, , ,"
War            ",(1974)
Al-Shafaq - When heaven divides,Esen Isik, , ,"
Drama, War            ",(2019)
Kafkas sahini,Çetin Karamanbey, , ,"
Drama, War            ",(1970)
Üç namus bekçisi,Kayahan Arikan, , ,"
Drama, War            ",(1969)
Zindandan gelen mektup,Sirri Gültekin, , ,"
Drama, War            ",(1970)
Üç korkusuz arkadas,Halit Refig, , ,"
Drama, War            ",(1966)
Severek dögüsenler,Adnan Saner, , ,"
Adventure, War            ",(1966)
Kara Fatma,Nuri Akinci, , ,"
Drama, War            ",(1966)
Kahramanlar köyü,Kemal Kan, , ,"
Drama, War            ",(1966)
Kadin kahramanlarimiz,Nuri Akinci, , ,"
Drama, War            ",(1966)
Fedailer,Kayahan Arikan, , ,"
Adventure, War            ",(1966)
Bombaci Emine,Nuri Akinci, , ,"
Drama, War            ",(1966)
Allahaismarladik Istanbul,Semih Evin, , ,"
Drama, War            ",(1966)
On korkusuz kadin,Tunç Basaran, , ,"
Adventure, War            ",(1965)
Kibris volkani,Ural Ozon, , ,"
Drama, War            ",(1965)
Kocatepe'nin üç süvarisi,Yavuz Yalinkiliç, , ,"
Drama, War            ",(1964)
Kadihan,Yilmaz Atadeniz, , ,"
Adventure, History, War            ",(1976)
Silah arkadaslari,Sinasi Özonuk, , ,"
Drama, War            ",(1962)
Kahraman üçler,Semih Evin, , ,"
Drama, War            ",(1961)
Küçük kahraman,Türker Inanoglu, , ,"
Drama, War            ",(1960)
Onun süvarisi,Nusret Eraslan, , ,"
Drama, War            ",(1959)
Kibris'in belasi kizil EOKA,Nisan Hançer, , ,"
Drama, War            ",(1959)
Komandolar geliyor,Nejat Okçugil, , ,"
Adventure, Drama, War            ",(1968)
Fedai komandolar Kibrista,Nejat Okçugil, , ,"
Adventure, Drama, War            ",(1968)
Derebeyi,Yavuz Figenli, , ,"
Drama, War            ",(1968)
Bu vatan bizimdir,Nejat Saydam, , ,"
Drama, War            ",(1958)
Istiklal harbi,Hayri Esen, , ,"
Drama, War            ",(1954)
Hürriyet ugrunda mukaddes yalan,Muharrem Gürses, , ,"
Drama, War            ",(1954)
Yildirim Beyazit ve Timurlenk,Münir Hayri Egeli, , ,"
Drama, History, War            ",(1953)
Son gece,Sami Ayanoglu, , ,"
Drama, Romance, War            ",(1952)
Hürriyet için sahlanan belde,Mümtaz Ener, , ,"
Drama, War            ",(1952)
Dokunulmaz bu aslana,Vedat Örfi Bengü, , ,"
Drama, War            ",(1952)
Destan destan içinde,Seyfi Havaeri, , ,"
Drama, War            ",(1952)
Vatan için,Aydin Arakon, , ,"
Drama, War            ",(1951)
Kore'den geliyorum,Nurullah Tilgen, , ,"
Drama, War            ",(1951)
Kibris sehitleri,Behlül Dal, , ,"
Drama, War            ",(1959)
Istiklal ugrunda,Rahmi Kafadar, , ,"
Drama, War            ",(1954)
Ege kahramanlari,Nuri Akinci, , ,"
Drama, War            ",(1951)
