Open,High,Low,Close,rsi_o,rsi_h,rsi_l,rsi_c
0.5,1.5,0.5,0.91596,,,,
0.91596,0.9245,0.87644,0.88389,,,,
0.8837,0.8999,0.878,0.89199,,,,
0.89199,0.90699,0.88907,0.8899,,,,
0.8898,0.907,0.888,0.9016,,,,
0.9016,0.90985,0.9001,0.90293,,,,
0.90291,0.90985,0.89679,0.90176,,,,
0.90244,0.935,0.90175,0.93209,,,,
0.93209,0.93209,0.9075,0.908,,,,
0.908,0.91105,0.89601,0.9028,,,,
0.9028,0.918,0.90011,0.91234,,,,
0.91234,0.91611,0.85584,0.87966,,,,
0.87966,0.8814,0.85,0.8555,,,,
0.85576,0.8715,0.83774,0.8575,,,,
0.8575,0.8712,0.85502,0.85674,81.35593220338983,7.042253521126753,86.0,35.294117647058826
0.85672,0.86822,0.85001,0.86483,81.35593220338983,7.042253521126753,84.1867469879518,39.148936170212764
0.86482,0.86886,0.8,0.823,81.7153535949641,7.042253521126753,75.60341240116522,31.15394634019276
0.823,0.82643,0.80201,0.81073,75.44971253327,6.5793020010421515,75.60341240116522,29.530303318075624
0.81076,0.836,0.80701,0.82,73.92365822209656,8.203998759583243,76.16703671541046,33.275278435256794
0.8187,0.82556,0.8,0.8197,74.47954393888797,8.05317116006681,74.31802576742301,33.275278435256794
0.81969,0.83806,0.81525,0.83311,74.47954393888797,9.838269536306058,75.59411672667783,37.148997409613436
0.83324,0.8422,0.81681,0.8249,75.09527348551462,9.838269536306044,75.59411672667783,34.963070720143705
0.8249,0.84802,0.82345,0.844,73.19350011394172,11.823664037304042,76.2776356903053,42.2785144513426
0.84261,0.84261,0.82474,0.82962,74.58005009211848,11.549769989107546,76.2776356903053,39.86407129648905
0.82962,0.8326,0.80284,0.80284,72.5591615587013,11.2686529302824,71.62478886484408,33.6546843345547
0.80284,0.81198,0.792,0.80797,66.71837807789574,10.707333748032568,69.34704858341169,37.16795567911128
0.80803,0.815,0.7933,0.81306,67.65308434837723,10.707333748032568,69.3470485834117,40.557809105224415
0.81306,0.8158,0.8044,0.80667,68.60269956579529,10.707333748032568,70.43736694765343,38.33075006280329
0.80667,0.80813,0.76827,0.774,66.50026330759763,10.384306300981152,61.07867201406766,32.555310719656916
0.774,0.7768,0.7569,0.76662,60.50913633216204,9.462054584110547,58.96925468941795,30.884812171730957
0.7666,0.80263,0.7613,0.79683,58.61353712580005,17.36552676373003,58.96925468941795,40.713314929624666
0.79683,0.80692,0.7871,0.8,62.41734807247705,17.36552676373003,63.37067153010706,40.71331492962467
0.79999,0.81894,0.79531,0.80253,62.41734807247705,20.06315686640967,64.72887801142248,40.713314929624666
0.80255,0.80495,0.79196,0.79481,62.41734807247705,19.38176166859546,64.72887801142248,38.43767385469779
0.79481,0.803,0.79035,0.7962,60.11701452272909,19.38176166859546,64.72887801142248,38.437673854697785
0.7961,0.80572,0.78497,0.80094,60.11701452272909,19.38176166859546,61.863856534185985,38.437673854697785
0.80094,0.80194,0.79125,0.79552,60.11701452272909,19.381761668595473,63.59897106191484,35.92941963397497
0.79552,0.805,0.7922,0.80189,57.471605209396074,19.38176166859546,63.59897106191484,40.136322912614595
0.80017,0.803,0.769,0.76976,57.471605209396074,19.38176166859546,57.52785017648563,33.11212339126794
0.76976,0.775,0.74085,0.74558,49.84078884865788,16.72371863987631,49.84202637368455,29.41607683848136
0.7492,0.751,0.725,0.741,45.50315755543246,15.224687767274887,45.479652887903534,29.41607683848136
0.741,0.75602,0.6511,0.66352,43.46623535807511,19.127976880523548,34.19784653086326,19.380463526888107
0.66356,0.71497,0.66,0.66197,31.368555305558417,15.962087815834892,36.61677204901545,19.380463526888107
0.66194,0.70759,0.64758,0.68629,31.368555305558417,15.281150102006848,35.22237730323086,26.637246975666017
0.68629,0.7067,0.68422,0.69491,36.493373750498044,15.281150102006848,44.351044479616014,30.028645562986668
0.69483,0.69984,0.655,0.6761,38.94813341050497,14.56075468011909,39.818770452260274,27.309504638899526
0.67376,0.69061,0.6709,0.6781,35.954759283420785,13.857235127692931,43.93233399120403,27.309504638899526
0.67702,0.683,0.62519,0.66101,35.954759283420785,13.171866395284084,37.1041617191112,24.71407262264094
0.66101,0.705,0.64089,0.69098,33.012243766592704,21.530986635814713,41.05093167293652,34.73388399786745
0.69098,0.71,0.65491,0.662,40.83409943476917,25.398250512024887,42.977656326571704,30.379637490627104
0.662,0.6866,0.654,0.68263,36.27287885213782,22.960944588617267,42.97765632657171,36.12823623799677
0.68263,0.69376,0.67374,0.68522,41.00410100985456,26.74616600920551,46.99603129819059,36.12823623799677
0.68192,0.69029,0.66952,0.67775,41.00410100985456,26.74616600920551,46.99603129819059,34.477415958931104
0.6794,0.68732,0.66456,0.68076,41.00410100985456,26.74616600920551,46.99603129819059,34.477415958931104
0.68074,0.69499,0.67193,0.69042,41.00410100985456,30.98161249214961,49.230293331030865,37.774938236517315
