A,B,,
69.4,61,,
69.4,53.8,,
69.3,59.4,,
69.3,62.1,,
69.3,56.6,,
69.2,58.9,,
69.2,59.4,,
69.2,51.2,,
69.1,53.1,,
69.1,56,,
69.1,54.1,,
69.1,62.1,,
69,48,,
68.9,51.6,,
68.9,55.9,,
68.9,50.6,,
68.9,54.6,,
68.9,50.3,,
68.9,57.7,,
68.8,53.5,,
68.8,49.4,,
68.7,58.6,,
68.7,55.9,,
68.7,60.7,,
68.6,55.1,,
68.6,59.9,,
68.5,49,,
68.5,57.5,,
68.5,53.9,,
68.4,52.6,,
68.4,51,,
68.4,56,,
68.3,51.1,,
68.3,58.7,,
68.2,53.7,,
68.2,58.1,,
68.2,59.8,,
68.1,53.9,,
68.1,49.6,,
68.1,51.6,,
68,57.3,,
68,47.8,,
67.9,55.2,,
67.9,58.9,,
67.9,53.3,,
67.9,47.2,,
67.9,55.8,,
67.9,59.5,,
67.9,55.9,,
67.8,54,,
67.8,53.8,,
67.8,62.2,,
67.8,53.8,,
67.8,46.7,,
67.8,57.9,,
67.8,60.7,,
67.8,59.8,,
67.8,56,,
67.7,61.5,,
67.7,48.8,,
67.7,55.5,,
67.7,56,,
67.7,56.6,,
67.7,46.7,,
67.6,57.9,,
67.5,55.1,,
67.5,53,,
67.5,58,,
67.5,62.4,,
67.4,61.5,,
67.4,50.5,,
67.4,56.7,,
67.4,58.1,,
67.3,59.6,,
67.3,60.8,,
67.3,60.1,,
67.3,52.7,,
67.2,54.2,,
67.2,56.1,,
67.2,59.3,,
67.2,55.7,,
67.2,46.9,,
67.1,48.8,,
67.1,52.8,,
67.1,50.2,,
67.1,59.6,,
67.1,57.8,,
67,56.9,,
67,46.5,,
67,55.4,,
66.9,52.5,,
66.9,51.9,,
66.9,56.1,,
66.9,51.5,,
66.8,54,,
66.8,44.6,,
66.8,51,,
66.8,51.2,,
66.7,56.8,,
66.7,55,,
66.7,57.2,,
66.6,60,,
66.6,53.4,,
66.6,57.7,,
66.6,50.7,,
66.6,43,,
66.6,53.4,,
66.5,61.6,,
66.5,47.5,,
66.5,53.1,,
66.4,51.9,,
66.4,53,,
66.4,58.3,,
66.4,43.2,,
66.4,59.7,,
66.4,56.7,,
66.4,55.8,,
66.3,58.3,,
66.3,54.9,,
66.3,54.9,,
66.2,54.3,,
66.2,62.1,,
66.2,55.2,,
66.2,43,,
66.1,58.3,,
66.1,47.2,,
66.1,50.1,,
66.1,44.6,,
66.1,35.5,,
66.1,48.2,,
66,56.3,,
66,46.3,,
66,57.1,,
66,48.2,,
65.9,47.6,,
65.9,47.5,,
65.9,59.7,,
65.9,48.9,,
65.9,57.1,,
65.8,54.7,,
65.8,54.2,,
65.8,55,,
65.8,55.8,,
65.8,50.9,,
65.7,50.3,,
65.7,47.2,,
65.7,54.2,,
65.6,53.8,,
65.6,49.4,,
65.6,54.9,,
65.6,47.8,,
65.5,58.7,,
65.5,56.8,,
65.5,48.9,,
65.4,55.8,,
65.4,53.8,,
65.4,55.2,,
65.4,54.4,,
65.3,55.6,,
65.3,50.5,,
65.3,56.8,,
65.3,58.7,,
65.2,50.4,,
65.2,43,,
65.2,54.2,,
65.2,50.5,,
65.2,57.8,,
65.1,50.3,,
65.1,56.4,,
65.1,47.5,,
65.1,51.1,,
65.1,47.7,,
65.1,58.2,,
65.1,56.7,,
65.1,58.2,,
65,57.7,,
65,40.5,,
65,58.5,,
65,57.6,,
65,59.4,,
65,55.7,,
65,42.1,,
64.9,44.7,,
64.9,47,,
64.9,49.8,,
64.8,42.8,,
64.8,58.1,,
64.8,50.3,,
64.8,51.4,,
64.7,55.9,,
64.7,36.8,,
64.7,57.9,,
64.6,46.8,,
64.6,54.5,,
64.6,55.9,,
64.6,54.7,,
64.6,48,,
64.6,52.6,,
64.6,50.6,,
64.5,52.1,,
64.5,57.6,,
64.5,52,,
64.5,49,,
64.5,50.6,,
64.5,55.4,,
64.5,48.1,,
64.5,55.8,,
64.5,60.1,,
64.4,52.8,,
64.4,54.4,,
64.4,50.3,,
64.4,57.6,,
64.4,54.8,,
64.3,56.6,,
64.3,45.7,,
64.3,61.9,,
64.3,51.9,,
64.3,42.7,,
64.3,52.5,,
64.3,41.3,,
64.3,58,,
64.2,60,,
64.2,54.1,,
64.2,52.2,,
64.2,57.6,,
64.2,55,,
64.2,49.4,,
64.1,55.1,,
64.1,50.5,,
64,55.1,,
64,55.9,,
64,49.8,,
64,50.9,,
64,56.8,,
64,55.1,,
64,40.2,,
64,46.4,,
63.9,49.3,,
63.9,56.6,,
63.9,54.4,,
63.8,51.2,,
63.7,51.9,,
63.7,49,,
63.7,53.1,,
63.6,54.6,,
63.6,55.6,,
63.6,41.1,,
63.6,55.5,,
63.6,53.1,,
63.6,52.6,,
63.5,46.9,,
63.5,46.6,,
63.5,41.7,,
63.5,53.9,,
63.5,51.4,,
63.4,54.3,,
63.4,46.1,,
63.4,53.8,,
63.3,60,,
63.3,42.4,,
63.3,48.4,,
63.3,40.6,,
63.3,51.6,,
63.3,50.1,,
63.3,52.7,,
63.3,55.1,,
63.2,56.1,,
63.2,50.5,,
63.1,53.1,,
63.1,51.6,,
63.1,53.3,,
63.1,55.4,,
63.1,58.6,,
63.1,53.9,,
63.1,53.4,,
63.1,56.2,,
63.1,50,,
63,42.6,,
63,53.7,,
63,49,,
62.9,47.7,,
62.9,52.9,,
62.9,49.9,,
62.9,50.1,,
62.9,48.9,,
62.9,56,,
62.8,46.8,,
62.8,55.4,,
62.8,57.1,,
62.8,52.6,,
62.8,50.4,,
62.8,54.6,,
62.7,45.3,,
62.7,52.4,,
62.7,55.7,,
62.7,49.9,,
62.7,49.6,,
62.6,50.4,,
62.6,53.2,,
62.6,45.6,,
62.6,55.7,,
62.5,57,,
62.5,50.4,,
62.5,49,,
62.5,43.5,,
62.4,53.8,,
62.4,56.2,,
62.4,36.3,,
62.4,52.5,,
62.3,43,,
62.3,50.2,,
62.3,47,,
62.3,48.4,,
62.2,47.8,,
62.2,48.6,,
62.2,51.5,,
62.2,55.6,,
62.2,47.8,,
62.2,54.7,,
62.1,56.3,,
62.1,53.2,,
62.1,44.4,,
62.1,45.8,,
62.1,51.4,,
62.1,53.7,,
62,52.4,,
62,56.6,,
62,52.2,,
62,45.4,,
62,47.5,,
62,48.6,,
61.9,44.1,,
61.9,38.2,,
61.9,57,,
61.9,49.5,,
61.9,48.4,,
61.9,54.9,,
61.9,54.3,,
61.8,53.7,,
61.8,48.1,,
61.8,47.9,,
61.8,59,,
61.8,49.1,,
61.8,51.2,,
61.8,55.4,,
61.8,45.2,,
61.8,45.5,,
61.7,44.7,,
61.6,56.3,,
61.6,45.9,,
61.6,54.2,,
61.6,47.5,,
61.5,42,,
61.5,55.1,,
61.5,38.8,,
61.5,52.3,,
61.5,55.2,,
61.5,54.5,,
61.4,54.7,,
61.4,39.5,,
61.4,47.3,,
61.3,49.6,,
